algorithm,topology,file,acceptance_rate,avg_time_per_vnr,total_run_time,r2c_ratio,num_requests,success_count
all_results_summary.csv,Unknown,all_results_summary.csv,0.29,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.225,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.31,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.795,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.38,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.76,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.785,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.315,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.33,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.37,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.67,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.275,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.79,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.27,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.34,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.76,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.79,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.765,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.745,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.74,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.645,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.685,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.74,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.68,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.705,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.205,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.235,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.22,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.255,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.2,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.59,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.515,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.59,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.5,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.595,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.795,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.775,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.775,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.765,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.77,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.155,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.765,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.175,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.255,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.735,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.18,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.745,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.16,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.72,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.735,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.11,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.14,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.145,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.13,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.1,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.76,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.745,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.76,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.725,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.73,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.37,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.35,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.39,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.345,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.355,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.775,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.765,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.77,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.255,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.2,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.795,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.22,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.205,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.235,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.22,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.255,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.2,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.795,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.775,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.775,,,,200,
all_results_summary.csv,Unknown,all_results_summary.csv,0.765,,,,200,
