solver_name,run_id,reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,seed,p_net_dataset_dir,v_nets_dataset_dir,start_run_time,clock_running_time
d_round,Luisas-MacBook-Air.local-20251124T193553-4011,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.59,0.2136709546014828,0.31402351713320836,2372.423114583144,118,0,0,82,73771.0,23228.0,10996181.136092873,35017062.5323845,0.3148662753656586,4635.0,5.0114347357065805,15.916073354908306,6733,1724,4835,18,8200.0,-inf,0.0,0,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251124T193641,1137.3678758144379
d_round,Luisas-MacBook-Air.local-20251124T193552-6829,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.515,0.20369428994131986,0.31405753339281356,2091.315099322733,103,0,0,97,62924.0,20363.0,10136604.286417289,32276265.36103095,0.3236126120399212,4847.0,4.20115535382711,12.982050753043119,9215,2099,7004,14,9700.0,-inf,0.0,2,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251124T193637,1150.9458527565002
d_round,Luisas-MacBook-Air.local-20251124T193552-1389,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.59,0.21983518017586096,0.328379525473638,1918.941624716424,118,0,0,82,69121.0,22695.0,9326056.29612182,28400236.83775774,0.3283372636391256,4860.0,4.669753086419753,14.222427983539095,8335,2038,6249,13,8200.0,-inf,0.0,1,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251124T193643,1156.98441696167
d_round,Luisas-MacBook-Air.local-20251124T193553-8542,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.5,0.19248249727251646,0.3219593318718068,2208.9681602174883,100,0,0,100,55856.0,18308.0,10326926.149016758,32075250.277661115,0.3277714122028072,4675.0,3.9161497326203207,11.947807486631016,8122,1849,6273,16,10000.0,-inf,0.0,3,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251124T193643,1160.8723373413086
d_round,Luisas-MacBook-Air.local-20251124T193552-7500,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.595,0.22469191076404177,0.32370766194610845,2774.382240856943,119,0,0,81,81205.0,24980.0,12215605.00649312,37736533.429742545,0.30761652607598056,4403.0,5.673404496933909,18.443106972518738,7797,1962,5717,16,8100.0,-inf,0.0,4,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251124T193643,1166.8933980464935
d_round,Luisas-MacBook-Air.local-20251124T193552-7222,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.11,0.05159683211319775,0.37254356188565996,133.40946086449796,22,0,0,178,3086.0,1136.0,618352.8511069481,1659813.5476482378,0.3681140635126377,4635.0,0.24509169363538297,0.6658036677454153,8577,4479,4098,5,17800.0,-inf,0.0,0,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251124T193643,1741.5085890293121
d_round,Luisas-MacBook-Air.local-20251124T193620-6850,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.14,0.05059312177176935,0.29541099600324217,104.84675743075333,28,0,0,172,5050.0,1564.0,508192.23326686135,1720288.818434111,0.3097029702970297,4847.0,0.32267381885702495,1.0418815762327214,8421,4681,3740,5,17200.0,-inf,0.0,2,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251124T193658,1748.0305972099304
d_round,Luisas-MacBook-Air.local-20251124T193553-7510,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.145,0.051805697827567984,0.2784375691011624,234.28246596883275,29,0,0,170,6036.0,1715.0,1095270.528404293,3933630.5511500766,0.28412856196156394,4675.0,0.36684491978609624,1.2911229946524063,8216,4516,3700,6,17000.0,-inf,0.0,3,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251124T193643,1763.695366859436
d_round,Luisas-MacBook-Air.local-20251124T193552-5931,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.13,0.04948842585468464,0.356702142431961,131.4868611549799,26,0,0,174,4495.0,1355.0,639026.1452132022,1791483.8998621742,0.3014460511679644,4860.0,0.2788065843621399,0.9248971193415638,8024,4375,3632,5,17400.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251124T193630,1779.1026828289032
d_round,Luisas-MacBook-Air.local-20251124T193551-7288,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.1,0.049906060992139206,0.32909880462381436,137.11997099812007,20,0,0,180,3046.0,1127.0,603739.2323047227,1834522.7142190435,0.3699934340118188,4403.0,0.2559618441971383,0.6918010447422213,8713,4847,3866,4,18000.0,-inf,0.0,4,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251124T193631,1782.441989183426
