v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,1,1,303.0,580.0,8464.31337992964,16202.316040789407,0.5224137931034483,0.5224137931034484,7,0,1,22.0,16391,2542,13849,0.02080123266563949,0.03659130434782609,0,27.93502765653346,22.0,7,8,True,"{np.int64(0): np.int64(14), np.int64(1): np.int64(9), np.int64(2): np.int64(3), np.int64(3): np.int64(5), np.int64(4): np.int64(6), np.int64(5): np.int64(2), np.int64(6): np.int64(20)}","{(0, 3): [(np.int64(14), 13), (13, 2), (2, np.int64(5))], (0, 4): [(np.int64(14), 12), (12, 0), (0, 4), (4, np.int64(6))], (0, 6): [(np.int64(14), 12), (12, 0), (0, np.int64(20))], (1, 3): [(np.int64(9), 6), (6, 5)], (1, 4): [(np.int64(9), 6)], (2, 4): [(np.int64(3), 5), (5, np.int64(6))], (3, 4): [(np.int64(5), 6)], (5, 6): [(np.int64(2), 21), (21, 22), (22, np.int64(20))]}","{(np.int64(0), np.int64(14)): {'cpu': 17}, (np.int64(1), np.int64(9)): {'cpu': 3}, (np.int64(2), np.int64(3)): {'cpu': 3}, (np.int64(3), np.int64(5)): {'cpu': 1}, (np.int64(4), np.int64(6)): {'cpu': 19}, (np.int64(5), np.int64(2)): {'cpu': 4}, (np.int64(6), np.int64(20)): {'cpu': 7}}","{((0, 3), (np.int64(14), 13)): {'bw': 42}, ((0, 3), (13, 2)): {'bw': 42}, ((0, 3), (2, np.int64(5))): {'bw': 42}, ((0, 4), (np.int64(14), 12)): {'bw': 10}, ((0, 4), (12, 0)): {'bw': 10}, ((0, 4), (0, 4)): {'bw': 10}, ((0, 4), (4, np.int64(6))): {'bw': 10}, ((0, 6), (np.int64(14), 12)): {'bw': 29}, ((0, 6), (12, 0)): {'bw': 29}, ((0, 6), (0, np.int64(20))): {'bw': 29}, ((1, 3), (np.int64(9), 6)): {'bw': 49}, ((1, 3), (6, 5)): {'bw': 49}, ((1, 4), (np.int64(9), 6)): {'bw': 29}, ((2, 4), (np.int64(3), 5)): {'bw': 24}, ((2, 4), (5, np.int64(6))): {'bw': 24}, ((3, 4), (np.int64(5), 6)): {'bw': 50}, ((5, 6), (np.int64(2), 21)): {'bw': 16}, ((5, 6), (21, 22)): {'bw': 16}, ((5, 6), (22, np.int64(20))): {'bw': 16}}",580.0,303.0,216.0,54.0,249.0,54.0,249.0,54.0,526.0,277.0,0.5224137931034483,16202.316040789407,8464.31337992964,14.593643758499377,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -57}, np.int64(1): {'cpu': -97}, np.int64(2): {'cpu': -50}, np.int64(3): {'cpu': -88}, np.int64(4): {'cpu': -40}, np.int64(5): {'cpu': -46}, np.int64(6): {'cpu': -89}}, 'link_level': {(0, 3): {'bw': -167}, (0, 4): {'bw': -219}, (0, 6): {'bw': -190}, (1, 3): {'bw': -185}, (1, 4): {'bw': -286}, (2, 4): {'bw': -161}, (3, 4): {'bw': -111}, (5, 6): {'bw': -249}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,8.0
2,2,2,341.0,618.0,12703.958321368384,20441.960982228153,0.551779935275081,0.6214647573397171,9,1,1,49.0,16353,2538,13815,0.02234206471494604,0.038956521739130445,1,111.56960372207224,49.0,2,1,True,"{np.int64(0): np.int64(1), np.int64(1): np.int64(12)}","{(0, 1): [(np.int64(1), 12)]}","{(np.int64(0), np.int64(1)): {'cpu': 0}, (np.int64(1), np.int64(12)): {'cpu': 4}}","{((0, 1), (np.int64(1), 12)): {'bw': 34}}",38.0,38.0,28.0,4.0,34.0,4.0,34.0,4.0,34.0,0.0,1.0,4239.644941438745,4239.644941438745,111.56960372207224,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -97}, np.int64(1): {'cpu': -52}}, 'link_level': {(0, 1): {'bw': -333}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0
2,2,1,341.0,618.0,12703.958321368384,20441.960982228153,0.551779935275081,0.6214647573397171,9,2,0,49.935027656533464,16933,2592,14341,0.0015408320493066618,0.002365217391304353,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
3,3,2,542.0,954.0,14582.853133758059,23582.800071595968,0.5681341719077568,0.6183681789051932,14,3,1,68.0,16597,2555,14042,0.01579352850539295,0.023165217391304394,2,9.347735385023263,68.0,5,6,True,"{np.int64(0): np.int64(33), np.int64(1): np.int64(35), np.int64(2): np.int64(0), np.int64(3): np.int64(30), np.int64(4): np.int64(28)}","{(0, 1): [(np.int64(33), 30), (30, 28), (28, 31), (31, np.int64(35))], (0, 3): [(np.int64(33), 30)], (1, 3): [(np.int64(35), 31), (31, 28), (28, np.int64(30))], (1, 4): [(np.int64(35), 31), (31, 28)], (2, 4): [(np.int64(0), 28)], (3, 4): [(np.int64(30), 28)]}","{(np.int64(0), np.int64(33)): {'cpu': 13}, (np.int64(1), np.int64(35)): {'cpu': 1}, (np.int64(2), np.int64(0)): {'cpu': 2}, (np.int64(3), np.int64(30)): {'cpu': 2}, (np.int64(4), np.int64(28)): {'cpu': 19}}","{((0, 1), (np.int64(33), 30)): {'bw': 12}, ((0, 1), (30, 28)): {'bw': 12}, ((0, 1), (28, 31)): {'bw': 12}, ((0, 1), (31, np.int64(35))): {'bw': 12}, ((0, 3), (np.int64(33), 30)): {'bw': 30}, ((1, 3), (np.int64(35), 31)): {'bw': 39}, ((1, 3), (31, 28)): {'bw': 39}, ((1, 3), (28, np.int64(30))): {'bw': 39}, ((1, 4), (np.int64(35), 31)): {'bw': 21}, ((1, 4), (31, 28)): {'bw': 21}, ((2, 4), (np.int64(0), 28)): {'bw': 13}, ((3, 4), (np.int64(30), 28)): {'bw': 49}}",336.0,201.0,518.0,37.0,164.0,37.0,164.0,37.0,299.0,135.0,0.5982142857142857,3140.8390893678165,1878.894812389676,5.591948846397845,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -37}, np.int64(1): {'cpu': -84}, np.int64(2): {'cpu': -92}, np.int64(3): {'cpu': -53}, np.int64(4): {'cpu': -51}}, 'link_level': {(0, 1): {'bw': -199}, (0, 3): {'bw': -300}, (1, 3): {'bw': -160}, (1, 4): {'bw': -181}, (2, 4): {'bw': -334}, (3, 4): {'bw': -111}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0
3,3,1,542.0,954.0,14582.853133758059,23582.800071595968,0.5681341719077568,0.6183681789051932,14,4,0,77.34773538502327,16933,2592,14341,0.0015408320493066618,0.002365217391304353,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
4,4,2,739.0,1333.0,170056.50668700924,322692.0117298812,0.5543885971492873,0.5269932335026626,16,5,1,105.0,16554,2543,14011,0.020416024653312825,0.025321739130434784,3,789.206363214473,105.0,5,5,True,"{np.int64(0): np.int64(20), np.int64(1): np.int64(2), np.int64(2): np.int64(22), np.int64(3): np.int64(1), np.int64(4): np.int64(27)}","{(0, 2): [(np.int64(20), 22)], (0, 4): [(np.int64(20), 23), (23, np.int64(27))], (1, 4): [(np.int64(2), 21), (21, 23), (23, np.int64(27))], (2, 3): [(np.int64(22), 20), (20, np.int64(1))], (2, 4): [(np.int64(22), 20), (20, 23), (23, np.int64(27))]}","{(np.int64(0), np.int64(20)): {'cpu': 19}, (np.int64(1), np.int64(2)): {'cpu': 12}, (np.int64(2), np.int64(22)): {'cpu': 17}, (np.int64(3), np.int64(1)): {'cpu': 0}, (np.int64(4), np.int64(27)): {'cpu': 1}}","{((0, 2), (np.int64(20), 22)): {'bw': 36}, ((0, 4), (np.int64(20), 23)): {'bw': 10}, ((0, 4), (23, np.int64(27))): {'bw': 10}, ((1, 4), (np.int64(2), 21)): {'bw': 42}, ((1, 4), (21, 23)): {'bw': 42}, ((1, 4), (23, np.int64(27))): {'bw': 42}, ((2, 3), (np.int64(22), 20)): {'bw': 32}, ((2, 3), (20, np.int64(1))): {'bw': 32}, ((2, 4), (np.int64(22), 20)): {'bw': 28}, ((2, 4), (20, 23)): {'bw': 28}, ((2, 4), (23, np.int64(27))): {'bw': 28}}",379.0,197.0,294.0,49.0,148.0,49.0,148.0,49.0,330.0,182.0,0.5197889182058048,299109.21165828523,155473.65355325118,410.2207217763883,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -77}, np.int64(1): {'cpu': -38}, np.int64(2): {'cpu': -50}, np.int64(3): {'cpu': -97}, np.int64(4): {'cpu': -58}}, 'link_level': {(0, 2): {'bw': -284}, (0, 4): {'bw': -191}, (1, 4): {'bw': -267}, (2, 3): {'bw': -200}, (2, 4): {'bw': -163}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,5.0
5,5,3,1037.0,1924.0,207828.85778089848,397602.9496375609,0.5389812889812889,0.5227045170825495,20,6,1,131.0,15963,2459,13504,0.05277349768875195,0.060591304347826114,4,126.75285601976255,131.0,9,10,True,"{np.int64(0): np.int64(23), np.int64(1): np.int64(7), np.int64(2): np.int64(28), np.int64(3): np.int64(1), np.int64(4): np.int64(31), np.int64(5): np.int64(19), np.int64(6): np.int64(0), np.int64(7): np.int64(22), np.int64(8): np.int64(30)}","{(0, 2): [(np.int64(23), 20), (20, 0), (0, np.int64(28))], (1, 4): [(np.int64(7), 4), (4, 0), (0, 28), (28, np.int64(31))], (1, 6): [(np.int64(7), 4), (4, np.int64(0))], (1, 8): [(np.int64(7), 4), (4, 0), (0, 28), (28, np.int64(30))], (2, 3): [(np.int64(28), 1)], (2, 4): [(np.int64(28), 31)], (2, 7): [(np.int64(28), 0), (0, 20), (20, np.int64(22))], (2, 8): [(np.int64(28), 30)], (4, 7): [(np.int64(31), 28), (28, 0), (0, 20), (20, np.int64(22))], (5, 6): [(np.int64(19), 15), (15, 12), (12, np.int64(0))]}","{(np.int64(0), np.int64(23)): {'cpu': 2}, (np.int64(1), np.int64(7)): {'cpu': 1}, (np.int64(2), np.int64(28)): {'cpu': 13}, (np.int64(3), np.int64(1)): {'cpu': 19}, (np.int64(4), np.int64(31)): {'cpu': 15}, (np.int64(5), np.int64(19)): {'cpu': 17}, (np.int64(6), np.int64(0)): {'cpu': 4}, (np.int64(7), np.int64(22)): {'cpu': 7}, (np.int64(8), np.int64(30)): {'cpu': 6}}","{((0, 2), (np.int64(23), 20)): {'bw': 9}, ((0, 2), (20, 0)): {'bw': 9}, ((0, 2), (0, np.int64(28))): {'bw': 9}, ((1, 4), (np.int64(7), 4)): {'bw': 15}, ((1, 4), (4, 0)): {'bw': 15}, ((1, 4), (0, 28)): {'bw': 15}, ((1, 4), (28, np.int64(31))): {'bw': 15}, ((1, 6), (np.int64(7), 4)): {'bw': 18}, ((1, 6), (4, np.int64(0))): {'bw': 18}, ((1, 8), (np.int64(7), 4)): {'bw': 29}, ((1, 8), (4, 0)): {'bw': 29}, ((1, 8), (0, 28)): {'bw': 29}, ((1, 8), (28, np.int64(30))): {'bw': 29}, ((2, 3), (np.int64(28), 1)): {'bw': 42}, ((2, 4), (np.int64(28), 31)): {'bw': 18}, ((2, 7), (np.int64(28), 0)): {'bw': 2}, ((2, 7), (0, 20)): {'bw': 2}, ((2, 7), (20, np.int64(22))): {'bw': 2}, ((2, 8), (np.int64(28), 30)): {'bw': 29}, ((4, 7), (np.int64(31), 28)): {'bw': 17}, ((4, 7), (28, 0)): {'bw': 17}, ((4, 7), (0, 20)): {'bw': 17}, ((4, 7), (20, np.int64(22))): {'bw': 17}, ((5, 6), (np.int64(19), 15)): {'bw': 35}, ((5, 6), (15, 12)): {'bw': 35}, ((5, 6), (12, np.int64(0))): {'bw': 35}}",591.0,298.0,756.0,84.0,214.0,84.0,214.0,84.0,507.0,293.0,0.5042301184433164,74910.93790767966,37772.351093889236,63.912607603873504,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -85}, np.int64(1): {'cpu': -68}, np.int64(2): {'cpu': -57}, np.int64(3): {'cpu': -78}, np.int64(4): {'cpu': -50}, np.int64(5): {'cpu': -56}, np.int64(6): {'cpu': -90}, np.int64(7): {'cpu': -43}, np.int64(8): {'cpu': -49}}, 'link_level': {(0, 2): {'bw': -154}, (1, 4): {'bw': -213}, (1, 6): {'bw': -195}, (1, 8): {'bw': -166}, (2, 3): {'bw': -351}, (2, 4): {'bw': -341}, (2, 7): {'bw': -222}, (2, 8): {'bw': -153}, (4, 7): {'bw': -205}, (5, 6): {'bw': -182}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}, np.int64(7): {'cpu': 0}, np.int64(8): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,10.0
6,6,4,1224.0,2195.0,247440.79706408316,455008.4873153312,0.5576309794988611,0.5438157835781228,21,7,1,155.0,15692,2396,13296,0.07704160246533132,0.0750608695652174,5,211.82855231649557,155.0,5,6,True,"{np.int64(0): np.int64(3), np.int64(1): np.int64(31), np.int64(2): np.int64(21), np.int64(3): np.int64(2), np.int64(4): np.int64(5)}","{(0, 2): [(np.int64(3), 21)], (0, 4): [(np.int64(3), 5)], (1, 2): [(np.int64(31), 29), (29, 2), (2, np.int64(21))], (1, 4): [(np.int64(31), 29), (29, 2), (2, np.int64(5))], (2, 4): [(np.int64(21), 2), (2, np.int64(5))], (3, 4): [(np.int64(2), 5)]}","{(np.int64(0), np.int64(3)): {'cpu': 19}, (np.int64(1), np.int64(31)): {'cpu': 16}, (np.int64(2), np.int64(21)): {'cpu': 12}, (np.int64(3), np.int64(2)): {'cpu': 3}, (np.int64(4), np.int64(5)): {'cpu': 13}}","{((0, 2), (np.int64(3), 21)): {'bw': 2}, ((0, 4), (np.int64(3), 5)): {'bw': 20}, ((1, 2), (np.int64(31), 29)): {'bw': 3}, ((1, 2), (29, 2)): {'bw': 3}, ((1, 2), (2, np.int64(21))): {'bw': 3}, ((1, 4), (np.int64(31), 29)): {'bw': 17}, ((1, 4), (29, 2)): {'bw': 17}, ((1, 4), (2, np.int64(5))): {'bw': 17}, ((2, 4), (np.int64(21), 2)): {'bw': 44}, ((2, 4), (2, np.int64(5))): {'bw': 44}, ((3, 4), (np.int64(2), 5)): {'bw': 38}}",271.0,187.0,882.0,63.0,124.0,63.0,124.0,63.0,208.0,84.0,0.6900369003690037,57405.5376777703,39611.93928318467,146.16951765012794,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -34}, np.int64(1): {'cpu': -34}, np.int64(2): {'cpu': -62}, np.int64(3): {'cpu': -35}, np.int64(4): {'cpu': -76}}, 'link_level': {(0, 2): {'bw': -361}, (0, 4): {'bw': -211}, (1, 2): {'bw': -229}, (1, 4): {'bw': -192}, (2, 4): {'bw': -148}, (3, 4): {'bw': -110}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0
6,6,3,1224.0,2195.0,247440.79706408316,455008.4873153312,0.5576309794988611,0.5438157835781228,21,8,0,160.56960372207226,15730,2400,13330,0.07550077041602465,0.07269565217391305,1,111.56960372207224,49.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
7,7,4,1527.0,2666.0,646221.9564392483,1074896.0320866273,0.572768192048012,0.6011948478261462,22,9,1,181.0,15259,2338,12921,0.09938366718027736,0.1011478260869565,6,1316.109436881733,181.0,7,9,True,"{np.int64(0): np.int64(6), np.int64(1): np.int64(3), np.int64(2): np.int64(29), np.int64(3): np.int64(2), np.int64(4): np.int64(21), np.int64(5): np.int64(35), np.int64(6): np.int64(5)}","{(0, 2): [(np.int64(6), 5), (5, 2), (2, np.int64(29))], (1, 2): [(np.int64(3), 29)], (1, 6): [(np.int64(3), 5)], (2, 3): [(np.int64(29), 2)], (2, 5): [(np.int64(29), 31), (31, np.int64(35))], (2, 6): [(np.int64(29), 2), (2, np.int64(5))], (3, 5): [(np.int64(2), 29), (29, 31), (31, np.int64(35))], (3, 6): [(np.int64(2), 5)], (4, 5): [(np.int64(21), 2), (2, 29), (29, 31), (31, np.int64(35))]}","{(np.int64(0), np.int64(6)): {'cpu': 10}, (np.int64(1), np.int64(3)): {'cpu': 10}, (np.int64(2), np.int64(29)): {'cpu': 5}, (np.int64(3), np.int64(2)): {'cpu': 10}, (np.int64(4), np.int64(21)): {'cpu': 8}, (np.int64(5), np.int64(35)): {'cpu': 15}, (np.int64(6), np.int64(5)): {'cpu': 4}}","{((0, 2), (np.int64(6), 5)): {'bw': 22}, ((0, 2), (5, 2)): {'bw': 22}, ((0, 2), (2, np.int64(29))): {'bw': 22}, ((1, 2), (np.int64(3), 29)): {'bw': 37}, ((1, 6), (np.int64(3), 5)): {'bw': 35}, ((2, 3), (np.int64(29), 2)): {'bw': 30}, ((2, 5), (np.int64(29), 31)): {'bw': 7}, ((2, 5), (31, np.int64(35))): {'bw': 7}, ((2, 6), (np.int64(29), 2)): {'bw': 24}, ((2, 6), (2, np.int64(5))): {'bw': 24}, ((3, 5), (np.int64(2), 29)): {'bw': 24}, ((3, 5), (29, 31)): {'bw': 24}, ((3, 5), (31, np.int64(35))): {'bw': 24}, ((3, 6), (np.int64(2), 5)): {'bw': 47}, ((4, 5), (np.int64(21), 2)): {'bw': 15}, ((4, 5), (2, 29)): {'bw': 15}, ((4, 5), (29, 31)): {'bw': 15}, ((4, 5), (31, np.int64(35))): {'bw': 15}}",471.0,303.0,744.0,62.0,241.0,62.0,241.0,62.0,409.0,168.0,0.643312101910828,619887.5447712962,398781.1593751651,846.6691281850639,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -49}, np.int64(1): {'cpu': -24}, np.int64(2): {'cpu': -61}, np.int64(3): {'cpu': -25}, np.int64(4): {'cpu': -54}, np.int64(5): {'cpu': -70}, np.int64(6): {'cpu': -72}}, 'link_level': {(0, 2): {'bw': -88}, (1, 2): {'bw': -277}, (1, 6): {'bw': -176}, (2, 3): {'bw': -160}, (2, 5): {'bw': -246}, (2, 6): {'bw': -64}, (3, 5): {'bw': -112}, (3, 6): {'bw': -17}, (4, 5): {'bw': -97}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,9.0
