solver_name,run_id,reward_calculator_name,feature_constructor_used_features,acceptance_rate,avg_r2c_ratio,long_term_time_r2c_ratio,long_term_avg_time_revenue,success_count,early_rejection_count,place_failure_count,route_failure_count,total_cost,total_revenue,total_time_revenue,total_time_cost,long_term_r2c_ratio,total_simulation_time,long_term_avg_revenue,long_term_avg_cost,min_p_net_available_resource,min_p_net_node_available_resource,min_p_net_link_available_resource,max_inservice_count,total_violation,total_max_single_step_violation,avg_reward,seed,p_net_dataset_dir,v_nets_dataset_dir,start_run_time,clock_running_time
mip,Luisas-MacBook-Air.local-20251124T193112-5424,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.76,0.5915273038252744,0.5529553163897671,3238.1009801618493,152,0,0,0,62455.0,34675.0,15138122.082256645,27376754.745922517,0.5551997438155472,4675.0,7.4171122994652405,13.359358288770053,9261.0,1554,7648.0,20,0.0,-inf,0.0,3,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251124T193113,2669.8531053066254
mip,Luisas-MacBook-Air.local-20251124T193106-7988,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.745,0.5840994636969841,0.580750149083773,2868.7346794078107,149,0,0,0,55905.0,33020.0,13942050.54192196,24006968.51118815,0.5906448439316698,4860.0,6.794238683127572,11.503086419753087,8166.0,1527,6436.0,18,0.0,-inf,0.0,1,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251124T193107,2681.7662250995636
mip,Luisas-MacBook-Air.local-20251124T193109-8456,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.76,0.5684405498359545,0.5859124938094209,3465.3624515241204,152,0,0,0,61549.0,34942.0,16796611.80253741,28667440.923355404,0.567710279614616,4847.0,7.208995254796782,12.698370125851042,8528.0,1542,6986.0,21,0.0,-inf,0.0,2,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251124T193109,2698.1772611141205
mip,Luisas-MacBook-Air.local-20251124T193104-4369,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.725,0.5587347009272337,0.5862622675240935,3132.349073640868,145,0,0,0,51520.0,30315.0,14518437.956325423,24764407.9460201,0.5884122670807453,4635.0,6.540453074433657,11.115426105717368,9623.0,1481,7900.0,22,0.0,-inf,0.0,0,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251124T193105,2780.5946202278137
mip,Luisas-MacBook-Air.local-20251124T193115-5325,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.73,0.5606302366293604,0.5579629611424792,3942.5708099458507,146,0,0,0,56968.0,32780.0,17359139.27619158,31111633.719641868,0.5754107569161635,4403.0,7.444923915512151,12.938451056098115,7694.0,1625,6058.0,20,0.0,-inf,0.0,4,dataset/p_net/16-fat_tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[200-400]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251124T193116,2833.69211602211
mip,Luisas-MacBook-Air.local-20251124T193053-6003,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.37,0.35411954780121413,0.8952366312724751,597.0619942618139,74,0,0,0,7588.0,6957.0,2901721.292112415,3241289.722459139,0.9168423827095413,4860.0,1.4314814814814816,1.5613168724279836,7263.0,4154,3109.0,10,0.0,-inf,0.0,1,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_1,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_1,20251124T193053,3233.957216978073
mip,Luisas-MacBook-Air.local-20251124T193050-0373,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.35,0.3285170898531662,0.8966381466483302,925.9359807588078,70,0,0,0,8251.0,7266.0,4291713.270817074,4786449.5692712525,0.8806205308447461,4635.0,1.5676375404530745,1.780151024811219,7098.0,3957,3141.0,16,0.0,-inf,0.0,0,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_0,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_0,20251124T193051,3244.1066460609436
mip,Luisas-MacBook-Air.local-20251124T193058-7674,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.39,0.37559429528938165,0.9506087796866102,749.8987065353832,78,0,0,0,7809.0,7178.0,3505776.4530529166,3687927.7027177,0.9191957997182738,4675.0,1.5354010695187166,1.6703743315508022,8317.0,4317,3970.0,13,0.0,-inf,0.0,3,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_3,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_3,20251124T193059,3243.6614561080933
mip,Luisas-MacBook-Air.local-20251124T193055-0507,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.345,0.3246810904814227,0.9010223909002937,756.3475548766154,69,0,0,0,7432.0,6588.0,3666016.598486955,4068729.7402497437,0.8864370290635092,4847.0,1.3591912523210232,1.5333195791211058,8065.0,4400,3637.0,13,0.0,-inf,0.0,2,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_2,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_2,20251124T193056,3300.889522075653
mip,Luisas-MacBook-Air.local-20251124T193101-6080,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],0.355,0.3293551515180991,0.8577328910777859,816.9501658432728,71,0,0,0,8398.0,7291.0,3597031.58020793,4193650.0484294975,0.8681829006906406,4403.0,1.655916420622303,1.9073359073359073,7955.0,4510,3445.0,11,0.0,-inf,0.0,4,dataset/p_net/32-tree_[0.5-0.2]-cpu_[50-100]-max_cpu_None-bw_[50-100]-max_bw_None-seed_4,dataset/v_nets/200-[2-10]-random-500-0.04-cpu_[0-20]-bw_[0-50]-seed_4,20251124T193102,3354.5750789642334
