v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,15.0,9504,4874,4630,0.0,0.0,0,751.6116744769311,15.0,10,19,False,"{4: np.int64(2), 1: np.int64(5), 2: np.int64(11), 6: np.int64(24), 7: np.int64(12), 8: np.int64(26), 3: np.int64(25), 9: np.int64(6), 5: np.int64(28), 0: np.int64(27)}","{(0, 3): [(np.int64(27), 13), (13, 6), (6, 2), (2, 5), (5, 12), (12, np.int64(25))], (0, 4): []}","{(4, np.int64(2)): {'cpu': 13}, (1, np.int64(5)): {'cpu': 20}, (2, np.int64(11)): {'cpu': 6}, (6, np.int64(24)): {'cpu': 12}, (7, np.int64(12)): {'cpu': 10}, (8, np.int64(26)): {'cpu': 3}, (3, np.int64(25)): {'cpu': 2}, (9, np.int64(6)): {'cpu': 3}, (5, np.int64(28)): {'cpu': 1}, (0, np.int64(27)): {'cpu': 0}}","{((0, 3), (np.int64(27), 13)): {'bw': 43}, ((0, 3), (13, 6)): {'bw': 43}, ((0, 3), (6, 2)): {'bw': 43}, ((0, 3), (2, 5)): {'bw': 43}, ((0, 3), (5, 12)): {'bw': 43}, ((0, 3), (12, np.int64(25))): {'bw': 43}}",0.0,0.0,140.0,70.0,607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,9.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -82}, 1: {'cpu': -73}, 2: {'cpu': -93}, 6: {'cpu': -80}, 7: {'cpu': -71}, 8: {'cpu': -86}, 3: {'cpu': -91}, 9: {'cpu': -65}, 5: {'cpu': -91}, 0: {'cpu': -88}}, 'link_level': {(0, 3): {'bw': -16}, (0, 4): {'bw': 9}}, 'path_level': {(0, 3): {}, (0, 4): {}}}","{'node_level': {4: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 7: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 0}, 9: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 9}}, 'path_level': {(0, 3): {}, (0, 4): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,10.0,2.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,43.0,9504,4874,4630,0.0,0.0,1,750.5227476258572,43.0,10,17,False,"{4: np.int64(2), 8: np.int64(5), 2: np.int64(11), 6: np.int64(24), 0: np.int64(12), 7: np.int64(26), 3: np.int64(25), 1: np.int64(6), 5: np.int64(28), 9: np.int64(27)}","{(0, 1): [(np.int64(12), 5), (5, 2), (2, np.int64(6))], (0, 4): [(np.int64(12), 5), (5, np.int64(2))], (0, 6): []}","{(4, np.int64(2)): {'cpu': 20}, (8, np.int64(5)): {'cpu': 20}, (2, np.int64(11)): {'cpu': 14}, (6, np.int64(24)): {'cpu': 8}, (0, np.int64(12)): {'cpu': 11}, (7, np.int64(26)): {'cpu': 14}, (3, np.int64(25)): {'cpu': 17}, (1, np.int64(6)): {'cpu': 10}, (5, np.int64(28)): {'cpu': 5}, (9, np.int64(27)): {'cpu': 3}}","{((0, 1), (np.int64(12), 5)): {'bw': 10}, ((0, 1), (5, 2)): {'bw': 10}, ((0, 1), (2, np.int64(6))): {'bw': 10}, ((0, 4), (np.int64(12), 5)): {'bw': 32}, ((0, 4), (5, np.int64(2))): {'bw': 32}}",0.0,0.0,244.0,122.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,29.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -75}, 8: {'cpu': -73}, 2: {'cpu': -85}, 6: {'cpu': -84}, 0: {'cpu': -70}, 7: {'cpu': -75}, 3: {'cpu': -76}, 1: {'cpu': -58}, 5: {'cpu': -87}, 9: {'cpu': -85}}, 'link_level': {(0, 1): {'bw': -49}, (0, 4): {'bw': -17}, (0, 6): {'bw': 29}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 6): {}}}","{'node_level': {4: {'cpu': 0}, 8: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 7: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}, 9: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 29}}, 'path_level': {(0, 1): {}, (0, 4): {}, (0, 6): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,10.0,3.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,65.0,9504,4874,4630,0.0,0.0,2,349.3600929825318,65.0,8,17,False,"{1: np.int64(2), 0: np.int64(5), 5: np.int64(11), 7: np.int64(24), 4: np.int64(12), 6: np.int64(26), 2: np.int64(25), 3: np.int64(6)}","{(0, 1): [(np.int64(5), 2)], (0, 3): [(np.int64(5), 2), (2, np.int64(6))], (0, 6): [(np.int64(5), 12), (12, np.int64(26))], (0, 7): [(np.int64(5), 11), (11, np.int64(24))], (1, 3): [(np.int64(2), 6)], (1, 5): []}","{(1, np.int64(2)): {'cpu': 20}, (0, np.int64(5)): {'cpu': 20}, (5, np.int64(11)): {'cpu': 15}, (7, np.int64(24)): {'cpu': 15}, (4, np.int64(12)): {'cpu': 6}, (6, np.int64(26)): {'cpu': 6}, (2, np.int64(25)): {'cpu': 9}, (3, np.int64(6)): {'cpu': 1}}","{((0, 1), (np.int64(5), 2)): {'bw': 50}, ((0, 3), (np.int64(5), 2)): {'bw': 15}, ((0, 3), (2, np.int64(6))): {'bw': 15}, ((0, 6), (np.int64(5), 12)): {'bw': 6}, ((0, 6), (12, np.int64(26))): {'bw': 6}, ((0, 7), (np.int64(5), 11)): {'bw': 46}, ((0, 7), (11, np.int64(24))): {'bw': 46}, ((1, 3), (np.int64(2), 6)): {'bw': 19}}",0.0,0.0,184.0,92.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,27.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -75}, 0: {'cpu': -73}, 5: {'cpu': -84}, 7: {'cpu': -77}, 4: {'cpu': -75}, 6: {'cpu': -83}, 2: {'cpu': -84}, 3: {'cpu': -67}}, 'link_level': {(0, 1): {'bw': -26}, (0, 3): {'bw': -11}, (0, 6): {'bw': -53}, (0, 7): {'bw': -38}, (1, 3): {'bw': -66}, (1, 5): {'bw': 27}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}, (1, 3): {}, (1, 5): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 4: {'cpu': 0}, 6: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 6): {'bw': 0}, (0, 7): {'bw': 0}, (1, 3): {'bw': 0}, (1, 5): {'bw': 27}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 6): {}, (0, 7): {}, (1, 3): {}, (1, 5): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,8.0,6.0
4,1,1,60.0,83.0,94221.072032317,130339.14964470519,0.7228915662650602,0.7228915662650601,4,3,1,82.0,9421,4839,4582,0.0071809601969634596,0.010367170626349842,3,1570.3512005386167,82.0,4,4,True,"{1: np.int64(2), 0: np.int64(5), 3: np.int64(11), 2: np.int64(24)}","{(0, 1): [(np.int64(5), 2)], (0, 2): [(np.int64(5), 11), (11, np.int64(24))], (1, 3): [(np.int64(2), 5), (5, np.int64(11))], (2, 3): [(np.int64(24), 11)]}","{(1, np.int64(2)): {'cpu': 18}, (0, np.int64(5)): {'cpu': 14}, (3, np.int64(11)): {'cpu': 1}, (2, np.int64(24)): {'cpu': 2}}","{((0, 1), (np.int64(5), 2)): {'bw': 2}, ((0, 2), (np.int64(5), 11)): {'bw': 3}, ((0, 2), (11, np.int64(24))): {'bw': 3}, ((1, 3), (np.int64(2), 5)): {'bw': 20}, ((1, 3), (5, np.int64(11))): {'bw': 20}, ((2, 3), (np.int64(24), 11)): {'bw': 0}}",83.0,60.0,70.0,35.0,25.0,35.0,25.0,35.0,48.0,23.0,0.7228915662650602,130339.14964470519,94221.072032317,1135.1936389435784,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -77}, 0: {'cpu': -79}, 3: {'cpu': -98}, 2: {'cpu': -90}}, 'link_level': {(0, 1): {'bw': -74}, (0, 2): {'bw': -81}, (1, 3): {'bw': -54}, (2, 3): {'bw': -84}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 3): {}, (2, 3): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (1, 3): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}, (1, 3): {}, (2, 3): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,4.0,4.0
5,1,1,60.0,83.0,94221.072032317,130339.14964470519,0.7228915662650602,0.7228915662650601,4,4,1,110.0,9421,4839,4582,0.0071809601969634596,0.010367170626349842,4,201.63903511487771,110.0,10,23,False,"{1: np.int64(15), 5: np.int64(7), 2: np.int64(16), 7: np.int64(3), 9: np.int64(8), 0: np.int64(1), 8: np.int64(17), 3: np.int64(18), 6: np.int64(4), 4: np.int64(10)}","{(0, 1): [(np.int64(1), 3), (3, 7), (7, np.int64(15))], (0, 2): []}","{(1, np.int64(15)): {'cpu': 20}, (5, np.int64(7)): {'cpu': 17}, (2, np.int64(16)): {'cpu': 10}, (7, np.int64(3)): {'cpu': 12}, (9, np.int64(8)): {'cpu': 10}, (0, np.int64(1)): {'cpu': 9}, (8, np.int64(17)): {'cpu': 9}, (3, np.int64(18)): {'cpu': 6}, (6, np.int64(4)): {'cpu': 5}, (4, np.int64(10)): {'cpu': 0}}","{((0, 1), (np.int64(1), 3)): {'bw': 33}, ((0, 1), (3, 7)): {'bw': 33}, ((0, 1), (7, np.int64(15))): {'bw': 33}}",0.0,0.0,196.0,98.0,587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,5.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -77}, 5: {'cpu': -44}, 2: {'cpu': -71}, 7: {'cpu': -46}, 9: {'cpu': -80}, 0: {'cpu': -56}, 8: {'cpu': -67}, 3: {'cpu': -64}, 6: {'cpu': -67}, 4: {'cpu': -84}}, 'link_level': {(0, 1): {'bw': -25}, (0, 2): {'bw': 5}}, 'path_level': {(0, 1): {}, (0, 2): {}}}","{'node_level': {1: {'cpu': 0}, 5: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 0}, 9: {'cpu': 0}, 0: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 5}}, 'path_level': {(0, 1): {}, (0, 2): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,10.0,2.0
6,1,1,60.0,83.0,94221.072032317,130339.14964470519,0.7228915662650602,0.7228915662650601,4,5,1,131.0,9421,4839,4582,0.0071809601969634596,0.010367170626349842,5,328.3672823909719,131.0,9,21,False,"{1: np.int64(15), 8: np.int64(7), 3: np.int64(16), 5: np.int64(3), 7: np.int64(8), 2: np.int64(1), 6: np.int64(17), 0: np.int64(18), 4: np.int64(4)}","{(0, 2): [(np.int64(18), 8), (8, 3), (3, np.int64(1))], (0, 3): []}","{(1, np.int64(15)): {'cpu': 20}, (8, np.int64(7)): {'cpu': 19}, (3, np.int64(16)): {'cpu': 12}, (5, np.int64(3)): {'cpu': 16}, (7, np.int64(8)): {'cpu': 11}, (2, np.int64(1)): {'cpu': 11}, (6, np.int64(17)): {'cpu': 19}, (0, np.int64(18)): {'cpu': 1}, (4, np.int64(4)): {'cpu': 1}}","{((0, 2), (np.int64(18), 8)): {'bw': 24}, ((0, 2), (8, 3)): {'bw': 24}, ((0, 2), (3, np.int64(1))): {'bw': 24}}",0.0,0.0,220.0,110.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,8.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -77}, 8: {'cpu': -42}, 3: {'cpu': -69}, 5: {'cpu': -42}, 7: {'cpu': -79}, 2: {'cpu': -54}, 6: {'cpu': -57}, 0: {'cpu': -69}, 4: {'cpu': -71}}, 'link_level': {(0, 2): {'bw': -38}, (0, 3): {'bw': 7}}, 'path_level': {(0, 2): {}, (0, 3): {}}}","{'node_level': {1: {'cpu': 0}, 8: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 7: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 3): {'bw': 8}}, 'path_level': {(0, 2): {}, (0, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,9.0,2.0
7,1,1,60.0,83.0,94221.072032317,130339.14964470519,0.7228915662650602,0.7228915662650601,4,6,1,153.0,9421,4839,4582,0.0071809601969634596,0.010367170626349842,6,689.905709121674,153.0,4,5,False,"{2: np.int64(15), 1: np.int64(7), 0: np.int64(16), 3: np.int64(3)}","{(0, 1): [(np.int64(16), 7)], (0, 2): []}","{(2, np.int64(15)): {'cpu': 15}, (1, np.int64(7)): {'cpu': 11}, (0, np.int64(16)): {'cpu': 6}, (3, np.int64(3)): {'cpu': 16}}","{((0, 1), (np.int64(16), 7)): {'bw': 30}}",0.0,0.0,96.0,48.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,20.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {2: {'cpu': -82}, 1: {'cpu': -50}, 0: {'cpu': -75}, 3: {'cpu': -42}}, 'link_level': {(0, 1): {'bw': -26}, (0, 2): {'bw': 20}}, 'path_level': {(0, 1): {}, (0, 2): {}}}","{'node_level': {2: {'cpu': 0}, 1: {'cpu': 0}, 0: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 20}}, 'path_level': {(0, 1): {}, (0, 2): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,4.0,2.0
8,2,2,145.0,168.0,177130.01710902722,213248.09472141543,0.8630952380952381,0.8306288379290215,7,7,1,179.0,9336,4836,4500,0.0077964710709889085,0.02807775377969768,7,975.3993538436497,179.0,3,2,True,"{1: np.int64(15), 0: np.int64(7), 2: np.int64(16)}","{(0, 1): [(np.int64(7), 15)], (0, 2): [(np.int64(7), 16)]}","{(1, np.int64(15)): {'cpu': 3}, (0, np.int64(7)): {'cpu': 0}, (2, np.int64(16)): {'cpu': 0}}","{((0, 1), (np.int64(7), 15)): {'bw': 32}, ((0, 2), (np.int64(7), 16)): {'bw': 50}}",85.0,85.0,6.0,3.0,82.0,3.0,82.0,3.0,82.0,0.0,1.0,82908.94507671022,82908.94507671022,975.3993538436497,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {1: {'cpu': -94}, 0: {'cpu': -61}, 2: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -40}, (0, 2): {'bw': -6}}, 'path_level': {(0, 1): {}, (0, 2): {}}}","{'node_level': {1: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 2): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,3.0,2.0
9,2,2,145.0,168.0,177130.01710902722,213248.09472141543,0.8630952380952381,0.8306288379290215,7,8,1,200.0,9336,4836,4500,0.0077964710709889085,0.02807775377969768,8,267.6104373790477,200.0,7,10,False,"{4: np.int64(28), 3: np.int64(13), 5: np.int64(27), 0: np.int64(6), 2: np.int64(2), 6: np.int64(14), 1: np.int64(29)}","{(0, 1): [(np.int64(6), 14), (14, np.int64(29))], (0, 3): [(np.int64(6), 13)], (0, 5): [(np.int64(6), 13), (13, np.int64(27))], (1, 5): [(np.int64(29), 14), (14, 6), (6, 13), (13, np.int64(27))], (1, 6): [(np.int64(29), 14)], (2, 3): []}","{(4, np.int64(28)): {'cpu': 18}, (3, np.int64(13)): {'cpu': 16}, (5, np.int64(27)): {'cpu': 20}, (0, np.int64(6)): {'cpu': 9}, (2, np.int64(2)): {'cpu': 4}, (6, np.int64(14)): {'cpu': 7}, (1, np.int64(29)): {'cpu': 2}}","{((0, 1), (np.int64(6), 14)): {'bw': 21}, ((0, 1), (14, np.int64(29))): {'bw': 21}, ((0, 3), (np.int64(6), 13)): {'bw': 47}, ((0, 5), (np.int64(6), 13)): {'bw': 10}, ((0, 5), (13, np.int64(27))): {'bw': 10}, ((1, 5), (np.int64(29), 14)): {'bw': 0}, ((1, 5), (14, 6)): {'bw': 0}, ((1, 5), (6, 13)): {'bw': 0}, ((1, 5), (13, np.int64(27))): {'bw': 0}, ((1, 6), (np.int64(29), 14)): {'bw': 8}}",0.0,0.0,152.0,76.0,269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,16.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {4: {'cpu': -74}, 3: {'cpu': -45}, 5: {'cpu': -68}, 0: {'cpu': -59}, 2: {'cpu': -73}, 6: {'cpu': -64}, 1: {'cpu': -81}}, 'link_level': {(0, 1): {'bw': -35}, (0, 3): {'bw': -40}, (0, 5): {'bw': -30}, (1, 5): {'bw': -30}, (1, 6): {'bw': -44}, (2, 3): {'bw': 16}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 5): {}, (1, 5): {}, (1, 6): {}, (2, 3): {}}}","{'node_level': {4: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (0, 5): {'bw': 0}, (1, 5): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 16}}, 'path_level': {(0, 1): {}, (0, 3): {}, (0, 5): {}, (1, 5): {}, (1, 6): {}, (2, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,7.0,6.0
10,2,2,145.0,168.0,177130.01710902722,213248.09472141543,0.8630952380952381,0.8306288379290215,7,9,1,232.0,9336,4836,4500,0.0077964710709889085,0.02807775377969768,9,944.1941561255088,232.0,6,9,False,"{3: np.int64(28), 0: np.int64(13), 4: np.int64(27), 2: np.int64(6), 5: np.int64(2), 1: np.int64(14)}","{(0, 1): [(np.int64(13), 6), (6, np.int64(14))], (0, 2): [(np.int64(13), 6)], (0, 3): [(np.int64(13), 28)], (0, 4): [(np.int64(13), 27)], (1, 4): [(np.int64(14), 6), (6, 13), (13, np.int64(27))], (1, 5): [(np.int64(14), 6), (6, np.int64(2))], (2, 3): []}","{(3, np.int64(28)): {'cpu': 19}, (0, np.int64(13)): {'cpu': 5}, (4, np.int64(27)): {'cpu': 2}, (2, np.int64(6)): {'cpu': 3}, (5, np.int64(2)): {'cpu': 4}, (1, np.int64(14)): {'cpu': 8}}","{((0, 1), (np.int64(13), 6)): {'bw': 6}, ((0, 1), (6, np.int64(14))): {'bw': 6}, ((0, 2), (np.int64(13), 6)): {'bw': 29}, ((0, 3), (np.int64(13), 28)): {'bw': 50}, ((0, 4), (np.int64(13), 27)): {'bw': 35}, ((1, 4), (np.int64(14), 6)): {'bw': 2}, ((1, 4), (6, 13)): {'bw': 2}, ((1, 4), (13, np.int64(27))): {'bw': 2}, ((1, 5), (np.int64(14), 6)): {'bw': 16}, ((1, 5), (6, np.int64(2))): {'bw': 16}}",0.0,0.0,82.0,41.0,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,19.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {3: {'cpu': -73}, 0: {'cpu': -56}, 4: {'cpu': -86}, 2: {'cpu': -65}, 5: {'cpu': -73}, 1: {'cpu': -63}}, 'link_level': {(0, 1): {'bw': -50}, (0, 2): {'bw': -52}, (0, 3): {'bw': -26}, (0, 4): {'bw': -35}, (1, 4): {'bw': -33}, (1, 5): {'bw': -32}, (2, 3): {'bw': 19}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (0, 4): {}, (1, 4): {}, (1, 5): {}, (2, 3): {}}}","{'node_level': {3: {'cpu': 0}, 0: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}, 5: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 2): {'bw': 0}, (0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (1, 5): {'bw': 0}, (2, 3): {'bw': 19}}, 'path_level': {(0, 1): {}, (0, 2): {}, (0, 3): {}, (0, 4): {}, (1, 4): {}, (1, 5): {}, (2, 3): {}}}",[],-inf,-inf,True,False,False,0,[],0,0.0,6.0,7.0
