v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_attempt_times,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,25.0,9625,4944,4681,0.0,0.0,0,331.2160171223706,25.0,9,18,False,"{0: 13, 3: 6, 5: 27, 6: 28, 4: 2, 2: 14}","{(3, 0): [(6, 13)], (5, 0): [(27, 13)], (6, 0): [(28, 13)], (6, 5): [(28, 13), (13, 27)], (4, 0): [(2, 6), (6, 13)], (2, 0): [(14, 6), (6, 13)]}","{(0, 13): {'cpu': 13}, (3, 6): {'cpu': 11}, (5, 27): {'cpu': 14}, (6, 28): {'cpu': 16}, (4, 2): {'cpu': 10}, (2, 14): {'cpu': 4}}","{((3, 0), (6, 13)): {'bw': 12}, ((5, 0), (27, 13)): {'bw': 2}, ((6, 0), (28, 13)): {'bw': 24}, ((6, 5), (28, 13)): {'bw': 37}, ((6, 5), (13, 27)): {'bw': 37}, ((4, 0), (2, 6)): {'bw': 18}, ((4, 0), (6, 13)): {'bw': 18}, ((2, 0), (14, 6)): {'bw': 29}, ((2, 0), (6, 13)): {'bw': 29}}",0.0,0.0,170.0,85.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2100.0,"{'node_level': {'cpu': -80}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -87}, 3: {'cpu': -89}, 5: {'cpu': -44}, 6: {'cpu': -83}, 4: {'cpu': -41}, 2: {'cpu': -90}, 1: {'cpu': -80}}, 'link_level': {(3, 0): {'bw': -75}, (5, 0): {'bw': -52}, (6, 0): {'bw': -76}, (6, 5): {'bw': -15}, (4, 0): {'bw': -53}, (2, 0): {'bw': -28}, (1, 0): {'bw': -24}, (1, 3): {'bw': -13}, (1, 5): {'bw': 100.0}}, 'path_level': {(3, 0): {}, (5, 0): {}, (6, 0): {}, (6, 5): {}, (4, 0): {}, (2, 0): {}, (1, 0): {}, (1, 3): {}, (1, 5): {}}}","{'node_level': {0: {'cpu': 0}, 3: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(3, 0): {'bw': 0}, (5, 0): {'bw': 0}, (6, 0): {'bw': 0}, (6, 5): {'bw': 0}, (4, 0): {'bw': 0}, (2, 0): {'bw': 0}, (1, 0): {'bw': 0}, (1, 3): {'bw': 0}, (1, 5): {'bw': 100.0}}, 'path_level': {(3, 0): {}, (5, 0): {}, (6, 0): {}, (6, 5): {}, (4, 0): {}, (2, 0): {}, (1, 0): {}, (1, 3): {}, (1, 5): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,21.0,6.0,6.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,49.0,9625,4944,4681,0.0,0.0,1,259.7764327387954,49.0,7,11,False,"{6: 13, 5: 6, 4: 27, 3: 28, 0: 43}","{(5, 6): [(6, 13)], (4, 6): [(27, 13)], (3, 5): [(28, 13), (13, 6)], (3, 6): [(28, 13)], (0, 6): [(43, 27), (27, 13)]}","{(6, 13): {'cpu': 14}, (5, 6): {'cpu': 14}, (4, 27): {'cpu': 14}, (3, 28): {'cpu': 1}, (0, 43): {'cpu': 9}}","{((5, 6), (6, 13)): {'bw': 45}, ((4, 6), (27, 13)): {'bw': 10}, ((3, 5), (28, 13)): {'bw': 28}, ((3, 5), (13, 6)): {'bw': 28}, ((3, 6), (28, 13)): {'bw': 34}, ((0, 6), (43, 27)): {'bw': 15}, ((0, 6), (27, 13)): {'bw': 15}}",0.0,0.0,140.0,70.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2200.0,"{'node_level': {'cpu': -79}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {6: {'cpu': -86}, 5: {'cpu': -86}, 4: {'cpu': -44}, 3: {'cpu': -98}, 0: {'cpu': -72}, 2: {'cpu': -79}}, 'link_level': {(5, 6): {'bw': -42}, (4, 6): {'bw': -44}, (3, 5): {'bw': -14}, (3, 6): {'bw': -38}, (0, 6): {'bw': -29}, (2, 3): {'bw': -5}, (2, 4): {'bw': 100.0}, (2, 6): {'bw': 100.0}}, 'path_level': {(5, 6): {}, (4, 6): {}, (3, 5): {}, (3, 6): {}, (0, 6): {}, (2, 3): {}, (2, 4): {}, (2, 6): {}}}","{'node_level': {6: {'cpu': 0}, 5: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(5, 6): {'bw': 0}, (4, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (0, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 100.0}, (2, 6): {'bw': 100.0}}, 'path_level': {(5, 6): {}, (4, 6): {}, (3, 5): {}, (3, 6): {}, (0, 6): {}, (2, 3): {}, (2, 4): {}, (2, 6): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,22.0,5.0,5.0
3,1,1,108.0,108.0,163940.66372969837,163940.66372969837,1.0,1.0,3,2,1,70.0,9517,4926,4591,0.00364077669902918,0.01922666096987824,2,1517.9691086083183,70.0,3,2,True,"{1: 13, 2: 6, 0: 27}","{(2, 1): [(6, 13)], (0, 1): [(27, 13)]}","{(1, 13): {'cpu': 15}, (2, 6): {'cpu': 3}, (0, 27): {'cpu': 0}}","{((2, 1), (6, 13)): {'bw': 41}, ((0, 1), (27, 13)): {'bw': 49}}",108.0,108.0,36.0,18.0,90.0,18.0,90.0,18.0,90.0,0.0,1.0,163940.66372969837,163940.66372969837,1517.9691086083183,Success,0.0,"{'node_level': {'cpu': -58}, 'link_level': {'bw': -5}, 'path_level': {}}","{'node_level': {1: {'cpu': -85}, 2: {'cpu': -97}, 0: {'cpu': -58}}, 'link_level': {(2, 1): {'bw': -46}, (0, 1): {'bw': -5}}, 'path_level': {(2, 1): {}, (0, 1): {}}}","{'node_level': {1: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(2, 1): {'bw': 0}, (0, 1): {'bw': 0}}, 'path_level': {(2, 1): {}, (0, 1): {}}}",[],-5.0,0.0,True,True,False,0,[],0,0.0,0.0,3.0,2.0
4,1,1,108.0,108.0,163940.66372969837,163940.66372969837,1.0,1.0,3,3,1,102.0,9517,4926,4591,0.00364077669902918,0.01922666096987824,3,8.310489934272583,102.0,10,27,False,"{6: 11, 1: 5, 8: 23, 0: 24, 2: 2}","{(1, 6): [(5, 11)], (8, 6): [(23, 11)], (0, 1): [(24, 11), (11, 5)], (0, 6): [(24, 11)], (0, 8): [(24, 11), (11, 23)], (2, 6): [(2, 5), (5, 11)]}","{(6, 11): {'cpu': 19}, (1, 5): {'cpu': 13}, (8, 23): {'cpu': 15}, (0, 24): {'cpu': 5}, (2, 2): {'cpu': 20}}","{((1, 6), (5, 11)): {'bw': 14}, ((8, 6), (23, 11)): {'bw': 26}, ((0, 1), (24, 11)): {'bw': 18}, ((0, 1), (11, 5)): {'bw': 18}, ((0, 6), (24, 11)): {'bw': 10}, ((0, 8), (24, 11)): {'bw': 31}, ((0, 8), (11, 23)): {'bw': 31}, ((2, 6), (2, 5)): {'bw': 32}, ((2, 6), (5, 11)): {'bw': 32}}",0.0,0.0,208.0,104.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2200.0,"{'node_level': {'cpu': -69}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {6: {'cpu': -71}, 1: {'cpu': -45}, 8: {'cpu': -73}, 0: {'cpu': -47}, 2: {'cpu': -31}, 7: {'cpu': -69}}, 'link_level': {(1, 6): {'bw': -79}, (8, 6): {'bw': -64}, (0, 1): {'bw': -49}, (0, 6): {'bw': -39}, (0, 8): {'bw': -8}, (2, 6): {'bw': -29}, (7, 0): {'bw': 100.0}, (7, 1): {'bw': 100.0}}, 'path_level': {(1, 6): {}, (8, 6): {}, (0, 1): {}, (0, 6): {}, (0, 8): {}, (2, 6): {}, (7, 0): {}, (7, 1): {}}}","{'node_level': {6: {'cpu': 0}, 1: {'cpu': 0}, 8: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 7: {'cpu': 0}}, 'link_level': {(1, 6): {'bw': 0}, (8, 6): {'bw': 0}, (0, 1): {'bw': 0}, (0, 6): {'bw': 0}, (0, 8): {'bw': 0}, (2, 6): {'bw': 0}, (7, 0): {'bw': 100.0}, (7, 1): {'bw': 100.0}}, 'path_level': {(1, 6): {}, (8, 6): {}, (0, 1): {}, (0, 6): {}, (0, 8): {}, (2, 6): {}, (7, 0): {}, (7, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,22.0,5.0,6.0
4,1,1,108.0,108.0,163940.66372969837,163940.66372969837,1.0,1.0,3,4,0,110.31048993427258,9517,4926,4591,0.00364077669902918,0.01922666096987824,3,8.310489934272583,102.0,10,27,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
5,1,1,108.0,108.0,163940.66372969837,163940.66372969837,1.0,1.0,3,5,1,122.0,9517,4926,4591,0.00364077669902918,0.01922666096987824,4,187.9773938487999,122.0,9,24,False,"{5: 11, 0: 5, 2: 23, 4: 24}","{(0, 5): [(5, 11)], (2, 0): [(23, 11), (11, 5)], (2, 5): [(23, 11)], (4, 2): [(24, 11), (11, 23)], (4, 5): [(24, 11)]}","{(5, 11): {'cpu': 14}, (0, 5): {'cpu': 5}, (2, 23): {'cpu': 7}, (4, 24): {'cpu': 10}}","{((0, 5), (5, 11)): {'bw': 31}, ((2, 0), (23, 11)): {'bw': 31}, ((2, 0), (11, 5)): {'bw': 31}, ((2, 5), (23, 11)): {'bw': 24}, ((4, 2), (24, 11)): {'bw': 15}, ((4, 2), (11, 23)): {'bw': 15}, ((4, 5), (24, 11)): {'bw': 50}}",0.0,0.0,132.0,66.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2300.0,"{'node_level': {'cpu': -70}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {5: {'cpu': -76}, 0: {'cpu': -53}, 2: {'cpu': -81}, 4: {'cpu': -42}, 3: {'cpu': -70}}, 'link_level': {(0, 5): {'bw': -62}, (2, 0): {'bw': -31}, (2, 5): {'bw': -35}, (4, 2): {'bw': -20}, (4, 5): {'bw': -2}, (3, 0): {'bw': -47}, (3, 2): {'bw': -10}, (3, 5): {'bw': 100.0}}, 'path_level': {(0, 5): {}, (2, 0): {}, (2, 5): {}, (4, 2): {}, (4, 5): {}, (3, 0): {}, (3, 2): {}, (3, 5): {}}}","{'node_level': {5: {'cpu': 0}, 0: {'cpu': 0}, 2: {'cpu': 0}, 4: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(0, 5): {'bw': 0}, (2, 0): {'bw': 0}, (2, 5): {'bw': 0}, (4, 2): {'bw': 0}, (4, 5): {'bw': 0}, (3, 0): {'bw': 0}, (3, 2): {'bw': 0}, (3, 5): {'bw': 100.0}}, 'path_level': {(0, 5): {}, (2, 0): {}, (2, 5): {}, (4, 2): {}, (4, 5): {}, (3, 0): {}, (3, 2): {}, (3, 5): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,23.0,4.0,5.0
6,1,1,108.0,108.0,163940.66372969837,163940.66372969837,1.0,1.0,3,6,1,144.0,9517,4926,4591,0.00364077669902918,0.01922666096987824,5,2308.465490617315,144.0,10,14,False,"{3: 11, 4: 5, 2: 23, 6: 24, 9: 2, 5: 12}","{(4, 3): [(5, 11)], (2, 3): [(23, 11)], (6, 2): [(24, 11), (11, 23)], (6, 3): [(24, 11)], (9, 3): [(2, 5), (5, 11)], (5, 4): [(12, 5)], (5, 6): [(12, 5), (5, 11), (11, 24)], (5, 9): [(12, 5), (5, 2)]}","{(3, 11): {'cpu': 10}, (4, 5): {'cpu': 8}, (2, 23): {'cpu': 11}, (6, 24): {'cpu': 1}, (9, 2): {'cpu': 3}, (5, 12): {'cpu': 4}}","{((4, 3), (5, 11)): {'bw': 37}, ((2, 3), (23, 11)): {'bw': 48}, ((6, 2), (24, 11)): {'bw': 5}, ((6, 2), (11, 23)): {'bw': 5}, ((6, 3), (24, 11)): {'bw': 33}, ((9, 3), (2, 5)): {'bw': 30}, ((9, 3), (5, 11)): {'bw': 30}, ((5, 4), (12, 5)): {'bw': 23}, ((5, 6), (12, 5)): {'bw': 21}, ((5, 6), (5, 11)): {'bw': 21}, ((5, 6), (11, 24)): {'bw': 21}, ((5, 9), (12, 5)): {'bw': 7}, ((5, 9), (5, 2)): {'bw': 7}}",0.0,0.0,176.0,88.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2100.0,"{'node_level': {'cpu': -68}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {3: {'cpu': -80}, 4: {'cpu': -50}, 2: {'cpu': -77}, 6: {'cpu': -51}, 9: {'cpu': -48}, 5: {'cpu': -82}, 0: {'cpu': -68}}, 'link_level': {(4, 3): {'bw': -56}, (2, 3): {'bw': -42}, (6, 2): {'bw': -37}, (6, 3): {'bw': -29}, (9, 3): {'bw': -26}, (5, 4): {'bw': -35}, (5, 6): {'bw': -5}, (5, 9): {'bw': -7}, (0, 4): {'bw': -25}, (0, 5): {'bw': 100.0}}, 'path_level': {(4, 3): {}, (2, 3): {}, (6, 2): {}, (6, 3): {}, (9, 3): {}, (5, 4): {}, (5, 6): {}, (5, 9): {}, (0, 4): {}, (0, 5): {}}}","{'node_level': {3: {'cpu': 0}, 4: {'cpu': 0}, 2: {'cpu': 0}, 6: {'cpu': 0}, 9: {'cpu': 0}, 5: {'cpu': 0}, 0: {'cpu': 0}}, 'link_level': {(4, 3): {'bw': 0}, (2, 3): {'bw': 0}, (6, 2): {'bw': 0}, (6, 3): {'bw': 0}, (9, 3): {'bw': 0}, (5, 4): {'bw': 0}, (5, 6): {'bw': 0}, (5, 9): {'bw': 0}, (0, 4): {'bw': 0}, (0, 5): {'bw': 100.0}}, 'path_level': {(4, 3): {}, (2, 3): {}, (6, 2): {}, (6, 3): {}, (9, 3): {}, (5, 4): {}, (5, 6): {}, (5, 9): {}, (0, 4): {}, (0, 5): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,21.0,6.0,8.0
7,2,2,213.0,249.0,277053.5168318132,315835.06646682404,0.8554216867469879,0.877209487632734,7,7,1,172.0,9376,4883,4493,0.012338187702265357,0.040162358470412274,6,1077.265267639189,172.0,4,4,True,"{0: 11, 3: 5, 1: 23, 2: 24}","{(3, 0): [(5, 11)], (1, 0): [(23, 11)], (2, 1): [(24, 11), (11, 23)], (2, 3): [(24, 11), (11, 5)]}","{(0, 11): {'cpu': 20}, (3, 5): {'cpu': 14}, (1, 23): {'cpu': 9}, (2, 24): {'cpu': 0}}","{((3, 0), (5, 11)): {'bw': 20}, ((1, 0), (23, 11)): {'bw': 6}, ((2, 1), (24, 11)): {'bw': 25}, ((2, 1), (11, 23)): {'bw': 25}, ((2, 3), (24, 11)): {'bw': 11}, ((2, 3), (11, 5)): {'bw': 11}}",141.0,105.0,86.0,43.0,62.0,43.0,62.0,43.0,98.0,36.0,0.7446808510638298,151894.40273712564,113112.85310211485,802.2188163270556,Success,0.0,"{'node_level': {'cpu': -52}, 'link_level': {'bw': -31}, 'path_level': {}}","{'node_level': {0: {'cpu': -70}, 3: {'cpu': -44}, 1: {'cpu': -79}, 2: {'cpu': -52}}, 'link_level': {(3, 0): {'bw': -73}, (1, 0): {'bw': -84}, (2, 1): {'bw': -42}, (2, 3): {'bw': -31}}, 'path_level': {(3, 0): {}, (1, 0): {}, (2, 1): {}, (2, 3): {}}}","{'node_level': {0: {'cpu': 0}, 3: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(3, 0): {'bw': 0}, (1, 0): {'bw': 0}, (2, 1): {'bw': 0}, (2, 3): {'bw': 0}}, 'path_level': {(3, 0): {}, (1, 0): {}, (2, 1): {}, (2, 3): {}}}",[],-31.0,0.0,True,True,False,0,[],0,0.0,0.0,4.0,4.0
8,2,2,213.0,249.0,277053.5168318132,315835.06646682404,0.8554216867469879,0.877209487632734,7,8,1,204.0,9376,4883,4493,0.012338187702265357,0.040162358470412274,7,10.071946596146812,204.0,9,18,False,"{3: 10, 8: 4, 2: 21, 0: 22, 1: 38}","{(8, 3): [(4, 10)], (2, 3): [(21, 10)], (0, 3): [(22, 10)], (1, 3): [(38, 22), (22, 10)], (1, 8): [(38, 22), (22, 10), (10, 4)]}","{(3, 10): {'cpu': 10}, (8, 4): {'cpu': 6}, (2, 21): {'cpu': 12}, (0, 22): {'cpu': 19}, (1, 38): {'cpu': 2}}","{((8, 3), (4, 10)): {'bw': 48}, ((2, 3), (21, 10)): {'bw': 34}, ((0, 3), (22, 10)): {'bw': 12}, ((1, 3), (38, 22)): {'bw': 47}, ((1, 3), (22, 10)): {'bw': 47}, ((1, 8), (38, 22)): {'bw': 12}, ((1, 8), (22, 10)): {'bw': 12}, ((1, 8), (10, 4)): {'bw': 12}}",0.0,0.0,144.0,72.0,546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,2200.0,"{'node_level': {'cpu': -50}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {3: {'cpu': -70}, 8: {'cpu': -67}, 2: {'cpu': -47}, 0: {'cpu': -69}, 1: {'cpu': -76}, 5: {'cpu': -50}}, 'link_level': {(8, 3): {'bw': -29}, (2, 3): {'bw': -52}, (0, 3): {'bw': -69}, (1, 3): {'bw': -18}, (1, 8): {'bw': -6}, (5, 1): {'bw': 100.0}}, 'path_level': {(8, 3): {}, (2, 3): {}, (0, 3): {}, (1, 3): {}, (1, 8): {}, (5, 1): {}}}","{'node_level': {3: {'cpu': 0}, 8: {'cpu': 0}, 2: {'cpu': 0}, 0: {'cpu': 0}, 1: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(8, 3): {'bw': 0}, (2, 3): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 8): {'bw': 0}, (5, 1): {'bw': 100.0}}, 'path_level': {(8, 3): {}, (2, 3): {}, (0, 3): {}, (1, 3): {}, (1, 8): {}, (5, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,22.0,5.0,5.0
8,2,2,213.0,249.0,277053.5168318132,315835.06646682404,0.8554216867469879,0.877209487632734,7,9,0,214.0719465961468,9376,4883,4493,0.012338187702265357,0.040162358470412274,7,10.071946596146812,204.0,9,18,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,,
