v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,1,1,303.0,596.0,8464.31337992964,16649.276483293943,0.5083892617449665,0.5083892617449665,7,0,1,22.0,16375,2542,13833,0.02080123266563949,0.037704347826087004,0,27.93502765653346,22.0,7,8,True,"{np.int64(0): np.int64(14), np.int64(1): np.int64(9), np.int64(2): np.int64(3), np.int64(3): np.int64(5), np.int64(4): np.int64(6), np.int64(5): np.int64(11), np.int64(6): np.int64(20)}","{(0, 3): [(np.int64(14), 13), (13, 2), (2, np.int64(5))], (0, 4): [(np.int64(14), 12), (12, 0), (0, 4), (4, np.int64(6))], (0, 6): [(np.int64(14), 12), (12, 0), (0, np.int64(20))], (1, 3): [(np.int64(9), 6), (6, 5)], (1, 4): [(np.int64(9), 6)], (2, 4): [(np.int64(3), 5), (5, np.int64(6))], (3, 4): [(np.int64(5), 6)], (5, 6): [(np.int64(11), 7), (7, 4), (4, 0), (0, np.int64(20))]}","{(np.int64(0), np.int64(14)): {'cpu': 17}, (np.int64(1), np.int64(9)): {'cpu': 3}, (np.int64(2), np.int64(3)): {'cpu': 3}, (np.int64(3), np.int64(5)): {'cpu': 1}, (np.int64(4), np.int64(6)): {'cpu': 19}, (np.int64(5), np.int64(11)): {'cpu': 4}, (np.int64(6), np.int64(20)): {'cpu': 7}}","{((0, 3), (np.int64(14), 13)): {'bw': 42}, ((0, 3), (13, 2)): {'bw': 42}, ((0, 3), (2, np.int64(5))): {'bw': 42}, ((0, 4), (np.int64(14), 12)): {'bw': 10}, ((0, 4), (12, 0)): {'bw': 10}, ((0, 4), (0, 4)): {'bw': 10}, ((0, 4), (4, np.int64(6))): {'bw': 10}, ((0, 6), (np.int64(14), 12)): {'bw': 29}, ((0, 6), (12, 0)): {'bw': 29}, ((0, 6), (0, np.int64(20))): {'bw': 29}, ((1, 3), (np.int64(9), 6)): {'bw': 49}, ((1, 3), (6, 5)): {'bw': 49}, ((1, 4), (np.int64(9), 6)): {'bw': 29}, ((2, 4), (np.int64(3), 5)): {'bw': 24}, ((2, 4), (5, np.int64(6))): {'bw': 24}, ((3, 4), (np.int64(5), 6)): {'bw': 50}, ((5, 6), (np.int64(11), 7)): {'bw': 16}, ((5, 6), (7, 4)): {'bw': 16}, ((5, 6), (4, 0)): {'bw': 16}, ((5, 6), (0, np.int64(20))): {'bw': 16}}",596.0,303.0,162.0,54.0,249.0,54.0,249.0,54.0,542.0,293.0,0.5083892617449665,16649.276483293943,8464.31337992964,14.201868087130267,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -57}, np.int64(1): {'cpu': -97}, np.int64(2): {'cpu': -50}, np.int64(3): {'cpu': -88}, np.int64(4): {'cpu': -40}, np.int64(5): {'cpu': -69}, np.int64(6): {'cpu': -89}}, 'link_level': {(0, 3): {'bw': -167}, (0, 4): {'bw': -219}, (0, 6): {'bw': -190}, (1, 3): {'bw': -185}, (1, 4): {'bw': -286}, (2, 4): {'bw': -161}, (3, 4): {'bw': -111}, (5, 6): {'bw': -212}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 3): {'bw': 0}, (0, 4): {'bw': 0}, (0, 6): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 3): {}, (0, 4): {}, (0, 6): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,8.0
2,2,2,341.0,634.0,12703.958321368384,20888.92142473269,0.5378548895899053,0.6081672702510514,8,1,1,49.0,16337,2538,13799,0.02234206471494604,0.040069565217391356,1,111.56960372207224,49.0,2,1,True,"{np.int64(0): np.int64(14), np.int64(1): np.int64(12)}","{(0, 1): [(np.int64(14), 12)]}","{(np.int64(0), np.int64(14)): {'cpu': 0}, (np.int64(1), np.int64(12)): {'cpu': 4}}","{((0, 1), (np.int64(14), 12)): {'bw': 34}}",38.0,38.0,12.0,4.0,34.0,4.0,34.0,4.0,34.0,0.0,1.0,4239.644941438745,4239.644941438745,111.56960372207224,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -57}, np.int64(1): {'cpu': -52}}, 'link_level': {(0, 1): {'bw': -165}}, 'path_level': {(0, 1): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}}, 'path_level': {(0, 1): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,2.0,1.0
2,2,1,341.0,634.0,12703.958321368384,20888.92142473269,0.5378548895899053,0.6081672702510514,8,2,0,49.935027656533464,16933,2592,14341,0.0015408320493066618,0.002365217391304353,0,27.93502765653346,22.0,7,8,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
3,3,2,542.0,996.0,14582.853133758059,24272.80163411111,0.5441767068273092,0.6007898615734761,11,3,1,68.0,16571,2555,14016,0.01579352850539295,0.02497391304347829,2,9.347735385023263,68.0,5,6,True,"{np.int64(0): np.int64(4), np.int64(1): np.int64(25), np.int64(2): np.int64(14), np.int64(3): np.int64(1), np.int64(4): np.int64(20)}","{(0, 1): [(np.int64(4), 0), (0, 20), (20, 22), (22, 25)], (0, 3): [(np.int64(4), 1)], (1, 3): [(np.int64(25), 22), (22, 20), (20, 1)], (1, 4): [(np.int64(25), 22), (22, 20)], (2, 4): [(np.int64(14), 12), (12, 0), (0, 20)], (3, 4): [(np.int64(1), 20)]}","{(np.int64(0), np.int64(4)): {'cpu': 13}, (np.int64(1), np.int64(25)): {'cpu': 1}, (np.int64(2), np.int64(14)): {'cpu': 2}, (np.int64(3), np.int64(1)): {'cpu': 2}, (np.int64(4), np.int64(20)): {'cpu': 19}}","{((0, 1), (np.int64(4), 0)): {'bw': 12}, ((0, 1), (0, 20)): {'bw': 12}, ((0, 1), (20, 22)): {'bw': 12}, ((0, 1), (22, 25)): {'bw': 12}, ((0, 3), (np.int64(4), 1)): {'bw': 30}, ((1, 3), (np.int64(25), 22)): {'bw': 39}, ((1, 3), (22, 20)): {'bw': 39}, ((1, 3), (20, 1)): {'bw': 39}, ((1, 4), (np.int64(25), 22)): {'bw': 21}, ((1, 4), (22, 20)): {'bw': 21}, ((2, 4), (np.int64(14), 12)): {'bw': 13}, ((2, 4), (12, 0)): {'bw': 13}, ((2, 4), (0, 20)): {'bw': 13}, ((3, 4), (np.int64(1), 20)): {'bw': 49}}",362.0,201.0,333.0,37.0,164.0,37.0,164.0,37.0,325.0,161.0,0.5552486187845304,3383.880209378421,1878.894812389676,5.190317161297447,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -40}, np.int64(1): {'cpu': -62}, np.int64(2): {'cpu': -72}, np.int64(3): {'cpu': -95}, np.int64(4): {'cpu': -77}}, 'link_level': {(0, 1): {'bw': -223}, (0, 3): {'bw': -312}, (1, 3): {'bw': -184}, (1, 4): {'bw': -163}, (2, 4): {'bw': -191}, (3, 4): {'bw': -144}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 1): {'bw': 0}, (0, 3): {'bw': 0}, (1, 3): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 1): {}, (0, 3): {}, (1, 3): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0
3,3,1,542.0,996.0,14582.853133758059,24272.80163411111,0.5441767068273092,0.6007898615734761,11,4,0,77.34773538502327,16933,2592,14341,0.0015408320493066618,0.002365217391304353,2,9.347735385023263,68.0,5,6,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
4,4,2,739.0,1337.0,170056.50668700924,293392.1714902464,0.5527299925205684,0.5796218277509925,14,5,1,105.0,16592,2543,14049,0.020416024653312825,0.02267826086956526,3,789.206363214473,105.0,5,5,True,"{np.int64(0): np.int64(22), np.int64(1): np.int64(0), np.int64(2): np.int64(3), np.int64(3): np.int64(14), np.int64(4): np.int64(28)}","{(0, 2): [(np.int64(22), 21), (21, 3)], (0, 4): [(np.int64(22), 20), (20, 0), (0, 28)], (1, 4): [(np.int64(0), 28)], (2, 3): [(np.int64(3), 13), (13, 14)], (2, 4): [(np.int64(3), 29), (29, 30), (30, 28)]}","{(np.int64(0), np.int64(22)): {'cpu': 19}, (np.int64(1), np.int64(0)): {'cpu': 12}, (np.int64(2), np.int64(3)): {'cpu': 17}, (np.int64(3), np.int64(14)): {'cpu': 0}, (np.int64(4), np.int64(28)): {'cpu': 1}}","{((0, 2), (np.int64(22), 21)): {'bw': 36}, ((0, 2), (21, 3)): {'bw': 36}, ((0, 4), (np.int64(22), 20)): {'bw': 10}, ((0, 4), (20, 0)): {'bw': 10}, ((0, 4), (0, 28)): {'bw': 10}, ((1, 4), (np.int64(0), 28)): {'bw': 42}, ((2, 3), (np.int64(3), 13)): {'bw': 32}, ((2, 3), (13, 14)): {'bw': 32}, ((2, 4), (np.int64(3), 29)): {'bw': 28}, ((2, 4), (29, 30)): {'bw': 28}, ((2, 4), (30, 28)): {'bw': 28}}",341.0,197.0,343.0,49.0,148.0,49.0,148.0,49.0,292.0,144.0,0.5777126099706745,269119.3698561353,155473.65355325118,455.9344678980973,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -48}, np.int64(1): {'cpu': -82}, np.int64(2): {'cpu': -36}, np.int64(3): {'cpu': -74}, np.int64(4): {'cpu': -69}}, 'link_level': {(0, 2): {'bw': -229}, (0, 4): {'bw': -310}, (1, 4): {'bw': -295}, (2, 3): {'bw': -247}, (2, 4): {'bw': -183}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 4): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 4): {}, (2, 3): {}, (2, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,5.0
5,5,3,1037.0,2010.0,207828.85778089848,378696.8435915466,0.5159203980099503,0.5488000792661947,17,6,1,131.0,15919,2459,13460,0.05277349768875195,0.06365217391304345,4,126.75285601976255,131.0,9,10,True,"{np.int64(0): np.int64(10), np.int64(1): np.int64(14), np.int64(2): np.int64(0), np.int64(3): np.int64(22), np.int64(4): np.int64(33), np.int64(5): np.int64(6), np.int64(6): np.int64(8), np.int64(7): np.int64(9), np.int64(8): np.int64(4)}","{(0, 2): [(np.int64(10), 7), (7, 4), (4, 0)], (1, 4): [(np.int64(14), 12), (12, 0), (0, 28), (28, 30), (30, 33)], (1, 6): [(np.int64(14), 12), (12, 0), (0, 4), (4, 6), (6, 8)], (1, 8): [(np.int64(14), 12), (12, 0), (0, 4)], (2, 3): [(np.int64(0), 20), (20, 22)], (2, 4): [(np.int64(0), 28), (28, 30), (30, 33)], (2, 7): [(np.int64(0), 4), (4, 6), (6, 9)], (2, 8): [(np.int64(0), 4)], (4, 7): [(np.int64(33), 30), (30, 28), (28, 0), (0, 4), (4, 6), (6, 9)], (5, 6): [(np.int64(6), 8)]}","{(np.int64(0), np.int64(10)): {'cpu': 2}, (np.int64(1), np.int64(14)): {'cpu': 1}, (np.int64(2), np.int64(0)): {'cpu': 13}, (np.int64(3), np.int64(22)): {'cpu': 19}, (np.int64(4), np.int64(33)): {'cpu': 15}, (np.int64(5), np.int64(6)): {'cpu': 17}, (np.int64(6), np.int64(8)): {'cpu': 4}, (np.int64(7), np.int64(9)): {'cpu': 7}, (np.int64(8), np.int64(4)): {'cpu': 6}}","{((0, 2), (np.int64(10), 7)): {'bw': 9}, ((0, 2), (7, 4)): {'bw': 9}, ((0, 2), (4, 0)): {'bw': 9}, ((1, 4), (np.int64(14), 12)): {'bw': 15}, ((1, 4), (12, 0)): {'bw': 15}, ((1, 4), (0, 28)): {'bw': 15}, ((1, 4), (28, 30)): {'bw': 15}, ((1, 4), (30, 33)): {'bw': 15}, ((1, 6), (np.int64(14), 12)): {'bw': 18}, ((1, 6), (12, 0)): {'bw': 18}, ((1, 6), (0, 4)): {'bw': 18}, ((1, 6), (4, 6)): {'bw': 18}, ((1, 6), (6, 8)): {'bw': 18}, ((1, 8), (np.int64(14), 12)): {'bw': 29}, ((1, 8), (12, 0)): {'bw': 29}, ((1, 8), (0, 4)): {'bw': 29}, ((2, 3), (np.int64(0), 20)): {'bw': 42}, ((2, 3), (20, 22)): {'bw': 42}, ((2, 4), (np.int64(0), 28)): {'bw': 18}, ((2, 4), (28, 30)): {'bw': 18}, ((2, 4), (30, 33)): {'bw': 18}, ((2, 7), (np.int64(0), 4)): {'bw': 2}, ((2, 7), (4, 6)): {'bw': 2}, ((2, 7), (6, 9)): {'bw': 2}, ((2, 8), (np.int64(0), 4)): {'bw': 29}, ((4, 7), (np.int64(33), 30)): {'bw': 17}, ((4, 7), (30, 28)): {'bw': 17}, ((4, 7), (28, 0)): {'bw': 17}, ((4, 7), (0, 4)): {'bw': 17}, ((4, 7), (4, 6)): {'bw': 17}, ((4, 7), (6, 9)): {'bw': 17}, ((5, 6), (np.int64(6), 8)): {'bw': 35}}",673.0,298.0,1092.0,84.0,214.0,84.0,214.0,84.0,589.0,375.0,0.4427934621099554,85304.6721013002,37772.351093889236,56.12533594931536,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -84}, np.int64(1): {'cpu': -73}, np.int64(2): {'cpu': -69}, np.int64(3): {'cpu': -29}, np.int64(4): {'cpu': -35}, np.int64(5): {'cpu': -42}, np.int64(6): {'cpu': -67}, np.int64(7): {'cpu': -93}, np.int64(8): {'cpu': -47}}, 'link_level': {(0, 2): {'bw': -219}, (1, 4): {'bw': -168}, (1, 6): {'bw': -171}, (1, 8): {'bw': -142}, (2, 3): {'bw': -268}, (2, 4): {'bw': -150}, (2, 7): {'bw': -319}, (2, 8): {'bw': -290}, (4, 7): {'bw': -133}, (5, 6): {'bw': -275}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}, np.int64(7): {'cpu': 0}, np.int64(8): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 4): {'bw': 0}, (1, 6): {'bw': 0}, (1, 8): {'bw': 0}, (2, 3): {'bw': 0}, (2, 4): {'bw': 0}, (2, 7): {'bw': 0}, (2, 8): {'bw': 0}, (4, 7): {'bw': 0}, (5, 6): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 4): {}, (1, 6): {}, (1, 8): {}, (2, 3): {}, (2, 4): {}, (2, 7): {}, (2, 8): {}, (4, 7): {}, (5, 6): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,9.0,10.0
6,6,4,1224.0,2300.0,247440.79706408316,440127.1237633303,0.5321739130434783,0.562203017501688,20,7,1,155.0,15629,2396,13233,0.07704160246533132,0.07944347826086962,5,211.82855231649557,155.0,5,6,True,"{np.int64(0): np.int64(2), np.int64(1): np.int64(3), np.int64(2): np.int64(1), np.int64(3): np.int64(31), np.int64(4): np.int64(29)}","{(0, 2): [(np.int64(2), 5), (5, 6), (6, 4), (4, np.int64(1))], (0, 4): [(np.int64(2), 29)], (1, 2): [(np.int64(3), 5), (5, 6), (6, 4), (4, np.int64(1))], (1, 4): [(np.int64(3), 29)], (2, 4): [(np.int64(1), 28), (28, 30), (30, np.int64(29))], (3, 4): [(np.int64(31), 29)]}","{(np.int64(0), np.int64(2)): {'cpu': 19}, (np.int64(1), np.int64(3)): {'cpu': 16}, (np.int64(2), np.int64(1)): {'cpu': 12}, (np.int64(3), np.int64(31)): {'cpu': 3}, (np.int64(4), np.int64(29)): {'cpu': 13}}","{((0, 2), (np.int64(2), 5)): {'bw': 2}, ((0, 2), (5, 6)): {'bw': 2}, ((0, 2), (6, 4)): {'bw': 2}, ((0, 2), (4, np.int64(1))): {'bw': 2}, ((0, 4), (np.int64(2), 29)): {'bw': 20}, ((1, 2), (np.int64(3), 5)): {'bw': 3}, ((1, 2), (5, 6)): {'bw': 3}, ((1, 2), (6, 4)): {'bw': 3}, ((1, 2), (4, np.int64(1))): {'bw': 3}, ((1, 4), (np.int64(3), 29)): {'bw': 17}, ((2, 4), (np.int64(1), 28)): {'bw': 44}, ((2, 4), (28, 30)): {'bw': 44}, ((2, 4), (30, np.int64(29))): {'bw': 44}, ((3, 4), (np.int64(31), 29)): {'bw': 38}}",290.0,187.0,189.0,63.0,124.0,63.0,124.0,63.0,227.0,103.0,0.6448275862068965,61430.280171783714,39611.93928318467,136.59289407994714,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -31}, np.int64(1): {'cpu': -20}, np.int64(2): {'cpu': -85}, np.int64(3): {'cpu': -62}, np.int64(4): {'cpu': -53}}, 'link_level': {(0, 2): {'bw': -207}, (0, 4): {'bw': -212}, (1, 2): {'bw': -228}, (1, 4): {'bw': -269}, (2, 4): {'bw': -89}, (3, 4): {'bw': -253}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (0, 4): {'bw': 0}, (1, 2): {'bw': 0}, (1, 4): {'bw': 0}, (2, 4): {'bw': 0}, (3, 4): {'bw': 0}}, 'path_level': {(0, 2): {}, (0, 4): {}, (1, 2): {}, (1, 4): {}, (2, 4): {}, (3, 4): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,5.0,6.0
6,6,3,1224.0,2300.0,247440.79706408316,440127.1237633303,0.5321739130434783,0.562203017501688,20,8,0,160.56960372207226,15667,2400,13267,0.07550077041602465,0.07707826086956526,1,111.56960372207224,49.0,2,1,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
7,7,4,1527.0,2857.0,646221.9564392483,1173200.0801064556,0.5344767238361918,0.550819904803118,24,9,1,181.0,15110,2338,12772,0.09938366718027736,0.11151304347826085,6,1316.109436881733,181.0,7,9,True,"{np.int64(0): np.int64(30), np.int64(1): np.int64(23), np.int64(2): np.int64(3), np.int64(3): np.int64(15), np.int64(4): np.int64(29), np.int64(5): np.int64(18), np.int64(6): np.int64(2)}","{(0, 2): [(np.int64(30), 29), (29, 3)], (1, 2): [(np.int64(23), 21), (21, 3)], (1, 6): [(np.int64(23), 21), (21, 2)], (2, 3): [(np.int64(3), 13), (13, 15)], (2, 5): [(np.int64(3), 13), (13, 15), (15, 18)], (2, 6): [(np.int64(3), 5), (5, 2)], (3, 5): [(np.int64(15), 18)], (3, 6): [(np.int64(15), 13), (13, 2)], (4, 5): [(np.int64(29), 2), (2, 13), (13, 15), (15, 18)]}","{(np.int64(0), np.int64(30)): {'cpu': 10}, (np.int64(1), np.int64(23)): {'cpu': 10}, (np.int64(2), np.int64(3)): {'cpu': 5}, (np.int64(3), np.int64(15)): {'cpu': 10}, (np.int64(4), np.int64(29)): {'cpu': 8}, (np.int64(5), np.int64(18)): {'cpu': 15}, (np.int64(6), np.int64(2)): {'cpu': 4}}","{((0, 2), (np.int64(30), 29)): {'bw': 22}, ((0, 2), (29, 3)): {'bw': 22}, ((1, 2), (np.int64(23), 21)): {'bw': 37}, ((1, 2), (21, 3)): {'bw': 37}, ((1, 6), (np.int64(23), 21)): {'bw': 35}, ((1, 6), (21, 2)): {'bw': 35}, ((2, 3), (np.int64(3), 13)): {'bw': 30}, ((2, 3), (13, 15)): {'bw': 30}, ((2, 5), (np.int64(3), 13)): {'bw': 7}, ((2, 5), (13, 15)): {'bw': 7}, ((2, 5), (15, 18)): {'bw': 7}, ((2, 6), (np.int64(3), 5)): {'bw': 24}, ((2, 6), (5, 2)): {'bw': 24}, ((3, 5), (np.int64(15), 18)): {'bw': 24}, ((3, 6), (np.int64(15), 13)): {'bw': 47}, ((3, 6), (13, 2)): {'bw': 47}, ((4, 5), (np.int64(29), 2)): {'bw': 15}, ((4, 5), (2, 13)): {'bw': 15}, ((4, 5), (13, 15)): {'bw': 15}, ((4, 5), (15, 18)): {'bw': 15}}",557.0,303.0,744.0,62.0,241.0,62.0,241.0,62.0,495.0,254.0,0.5439856373429084,733072.9563431253,398781.1593751651,715.9446308351258,Success,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {np.int64(0): {'cpu': -45}, np.int64(1): {'cpu': -77}, np.int64(2): {'cpu': -15}, np.int64(3): {'cpu': -52}, np.int64(4): {'cpu': -45}, np.int64(5): {'cpu': -74}, np.int64(6): {'cpu': -27}}, 'link_level': {(0, 2): {'bw': -188}, (1, 2): {'bw': -290}, (1, 6): {'bw': -292}, (2, 3): {'bw': -289}, (2, 5): {'bw': -282}, (2, 6): {'bw': -183}, (3, 5): {'bw': -355}, (3, 6): {'bw': -248}, (4, 5): {'bw': -197}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}","{'node_level': {np.int64(0): {'cpu': 0}, np.int64(1): {'cpu': 0}, np.int64(2): {'cpu': 0}, np.int64(3): {'cpu': 0}, np.int64(4): {'cpu': 0}, np.int64(5): {'cpu': 0}, np.int64(6): {'cpu': 0}}, 'link_level': {(0, 2): {'bw': 0}, (1, 2): {'bw': 0}, (1, 6): {'bw': 0}, (2, 3): {'bw': 0}, (2, 5): {'bw': 0}, (2, 6): {'bw': 0}, (3, 5): {'bw': 0}, (3, 6): {'bw': 0}, (4, 5): {'bw': 0}}, 'path_level': {(0, 2): {}, (1, 2): {}, (1, 6): {}, (2, 3): {}, (2, 5): {}, (2, 6): {}, (3, 5): {}, (3, 6): {}, (4, 5): {}}}",[],-inf,-inf,True,True,False,0,[],0,0.0,7.0,9.0
