solver_name,reward_calculator_name,feature_constructor_used_features,run_id,num_train_epochs
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193321-5554,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193323-0595,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193456-4120,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193513-5013,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193456-8680,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193512-6947,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193530-0758,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193457-3284,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193503-8444,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193456-4766,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193551-7983,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193421-7040,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193453-2478,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193421-3778,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193421-6077,50
rw_rank_bfs,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193544-8112,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193453-1121,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193454-8120,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193459-6139,50
pl_rank,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193454-0825,50
sa_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193254-6515,50
sa_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193305-9061,50
sa_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193211-8751,50
sa_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193254-5134,50
sa_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193229-0457,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193029-0534,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193030-9617,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193032-9642,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193034-8860,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193036-5524,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193553-4011,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193552-6829,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193552-1389,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193553-8542,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193552-7500,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193038-9912,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193040-3858,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193045-8602,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193043-0041,50
ga_meta,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193047-4466,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193118-5222,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193132-1077,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193122-3928,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193128-8744,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193135-3893,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193124-8340,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193142-9015,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193129-3518,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193139-6804,50
mcts,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193145-1172,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193552-7222,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193620-6850,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193553-7510,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193552-5931,50
d_round,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193551-7288,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193112-5424,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193106-7988,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193109-8456,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193104-4369,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193115-5325,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193053-6003,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193050-0373,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193058-7674,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193055-0507,50
mip,fixed_intermediate_0.1,[_status_aggr_degree_moretopo],Luisas-MacBook-Air.local-20251124T193101-6080,50
