,id,num_nodes,edge_list,lifetime,arrival_time,nodes_data,edges_data
0,0,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",137.55587880135906,45,"{'cpu': [19, 13, 22, 3, 13, 22, 7, 3], 'ram': [4, 25, 21, 2, 6, 25, 4, 14], 'rom': [8, 10, 4, 3, 7, 7, 14, 7]}","{'bw': [11, 12, 29, 9, 7, 25, 27]}"
1,1,3,"[(0, 1), (1, 2)]",185.04215618775922,44,"{'cpu': [12, 9, 22], 'ram': [22, 19, 20], 'rom': [16, 25, 5]}","{'bw': [7, 5]}"
2,2,11,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10)]",232.5215437788158,54,"{'cpu': [25, 16, 13, 16, 18, 2, 2, 12, 19, 8, 7], 'ram': [25, 3, 8, 25, 18, 7, 15, 6, 12, 19, 12], 'rom': [5, 5, 24, 29, 2, 24, 10, 6, 4, 23, 29]}","{'bw': [3, 14, 23, 14, 14, 13, 27, 26, 3, 8]}"
3,3,11,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10)]",824.1466554545159,58,"{'cpu': [7, 23, 25, 29, 10, 15, 21, 22, 20, 25, 26], 'ram': [4, 2, 21, 21, 17, 28, 17, 10, 22, 27, 7], 'rom': [18, 8, 2, 15, 13, 10, 21, 16, 21, 7, 3]}","{'bw': [27, 19, 24, 10, 20, 29, 29, 3, 2, 7]}"
4,4,7,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6)]",103.83215657669675,67,"{'cpu': [16, 28, 11, 22, 10, 3, 26], 'ram': [23, 24, 21, 11, 21, 14, 27], 'rom': [5, 15, 18, 20, 23, 20, 6]}","{'bw': [14, 10, 6, 12, 8, 25]}"
5,5,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",189.2818539169614,69,"{'cpu': [29, 6, 4, 12, 14, 21, 13, 29], 'ram': [21, 26, 3, 14, 24, 15, 26, 10], 'rom': [21, 29, 9, 2, 6, 27, 22, 26]}","{'bw': [2, 26, 22, 13, 27, 10, 18]}"
6,6,5,"[(0, 1), (1, 2), (2, 3), (3, 4)]",705.2488018026914,38,"{'cpu': [19, 19, 4, 17, 27], 'ram': [3, 12, 5, 3, 4], 'rom': [6, 4, 3, 27, 6]}","{'bw': [14, 12, 9, 7]}"
7,7,11,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10)]",2.815394777128707,37,"{'cpu': [18, 28, 25, 13, 17, 6, 26, 17, 25, 2, 12], 'ram': [5, 27, 16, 11, 6, 4, 25, 4, 4, 18, 20], 'rom': [16, 3, 13, 28, 8, 4, 23, 24, 11, 6, 17]}","{'bw': [6, 18, 20, 7, 16, 29, 27, 25, 26, 29]}"
8,8,9,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8)]",232.29418985793498,50,"{'cpu': [11, 2, 3, 15, 18, 22, 25, 9, 10], 'ram': [12, 6, 15, 26, 19, 20, 6, 3, 8], 'rom': [27, 7, 7, 6, 17, 19, 12, 24, 10]}","{'bw': [18, 15, 21, 21, 18, 14, 9, 7]}"
9,9,10,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9)]",865.2829145379075,42,"{'cpu': [9, 15, 7, 28, 8, 29, 13, 7, 13, 28], 'ram': [3, 16, 24, 3, 10, 23, 4, 8, 7, 5], 'rom': [22, 12, 7, 3, 14, 9, 21, 4, 21, 29]}","{'bw': [15, 20, 7, 23, 14, 20, 13, 8, 26]}"
10,10,14,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13)]",7.309359767249649,47,"{'cpu': [5, 13, 19, 15, 8, 18, 25, 11, 14, 14, 24, 8, 18, 9], 'ram': [7, 2, 3, 23, 29, 2, 21, 25, 29, 7, 19, 26, 3, 25], 'rom': [18, 6, 5, 2, 18, 29, 21, 27, 2, 18, 26, 26, 7, 23]}","{'bw': [24, 22, 13, 18, 17, 3, 15, 21, 14, 21, 5, 5, 24]}"
11,11,10,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9)]",33.13041622143358,43,"{'cpu': [13, 13, 25, 3, 10, 10, 26, 9, 24, 5], 'ram': [6, 7, 23, 17, 28, 4, 20, 16, 5, 20], 'rom': [11, 26, 7, 28, 2, 16, 11, 8, 21, 5]}","{'bw': [8, 29, 8, 8, 4, 12, 10, 23, 10]}"
12,12,11,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10)]",217.19216756932923,41,"{'cpu': [18, 18, 24, 19, 19, 20, 14, 23, 3, 12, 2], 'ram': [4, 3, 27, 29, 10, 29, 15, 7, 5, 24, 23], 'rom': [13, 27, 17, 14, 25, 6, 8, 10, 18, 11, 8]}","{'bw': [13, 22, 3, 3, 18, 29, 9, 17, 6, 8]}"
13,13,10,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9)]",651.0212199252686,48,"{'cpu': [3, 3, 25, 23, 7, 20, 25, 3, 13, 25], 'ram': [26, 23, 12, 22, 10, 22, 16, 24, 6, 13], 'rom': [17, 10, 17, 17, 6, 8, 14, 19, 22, 12]}","{'bw': [8, 25, 26, 13, 27, 7, 12, 19, 23]}"
14,14,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",300.8697609332445,60,"{'cpu': [26, 26, 14, 27, 17, 4, 22, 17], 'ram': [9, 12, 20, 28, 21, 24, 9, 10], 'rom': [18, 14, 9, 16, 23, 2, 6, 28]}","{'bw': [14, 7, 17, 2, 27, 10, 12]}"
15,15,8,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7)]",76.92367647498133,58,"{'cpu': [18, 23, 15, 29, 16, 14, 10, 26], 'ram': [8, 24, 9, 22, 16, 28, 27, 20], 'rom': [16, 5, 20, 2, 4, 17, 29, 20]}","{'bw': [17, 13, 25, 8, 8, 2, 21]}"
16,16,14,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11), (11, 12), (12, 13)]",221.57114351345152,56,"{'cpu': [19, 29, 26, 27, 6, 9, 5, 21, 10, 10, 11, 28, 14, 10], 'ram': [5, 14, 28, 9, 11, 7, 8, 11, 26, 7, 22, 14, 12, 20], 'rom': [19, 8, 27, 10, 20, 22, 27, 24, 26, 14, 18, 9, 6, 9]}","{'bw': [7, 10, 26, 4, 4, 26, 3, 25, 11, 12, 26, 10, 9]}"
17,17,12,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9), (9, 10), (10, 11)]",281.1320492388173,47,"{'cpu': [16, 13, 29, 24, 8, 26, 3, 3, 3, 10, 15, 21], 'ram': [2, 28, 20, 3, 5, 9, 11, 6, 25, 22, 23, 23], 'rom': [17, 29, 13, 18, 15, 16, 15, 21, 15, 26, 29, 16]}","{'bw': [5, 12, 18, 13, 5, 10, 26, 19, 9, 18, 12]}"
18,18,4,"[(0, 1), (1, 2), (2, 3)]",600.8805648471473,52,"{'cpu': [28, 22, 16, 2], 'ram': [25, 24, 28, 16], 'rom': [13, 23, 26, 2]}","{'bw': [20, 17, 27]}"
19,19,10,"[(0, 1), (1, 2), (2, 3), (3, 4), (4, 5), (5, 6), (6, 7), (7, 8), (8, 9)]",2.8431304372799455,53,"{'cpu': [19, 19, 13, 29, 2, 2, 22, 23, 8, 17], 'ram': [24, 24, 3, 9, 5, 7, 7, 29, 7, 23], 'rom': [7, 22, 29, 19, 22, 20, 17, 23, 26, 25]}","{'bw': [18, 7, 18, 7, 21, 19, 8, 21, 12]}"
