v_net_count,success_count,inservice_count,total_revenue,total_cost,total_time_revenue,total_time_cost,long_term_r2c_ratio,long_term_time_r2c_ratio,num_running_p_net_nodes,event_id,event_type,event_time,p_net_available_resource,p_net_node_available_resource,p_net_link_available_resource,p_net_node_resource_utilization,p_net_link_resource_utilization,v_net_id,v_net_lifetime,v_net_arrival_time,v_net_num_nodes,v_net_num_egdes,result,node_slots,link_paths,node_slots_info,link_paths_info,v_net_cost,v_net_revenue,v_net_demand,v_net_node_demand,v_net_link_demand,v_net_node_revenue,v_net_link_revenue,v_net_node_cost,v_net_link_cost,v_net_path_cost,v_net_r2c_ratio,v_net_time_cost,v_net_time_revenue,v_net_time_rc_ratio,description,v_net_total_hard_constraint_violation,v_net_single_step_constraint_offset,v_net_constraint_offsets,v_net_constraint_violations,v_net_single_step_violation_list,v_net_single_step_hard_constraint_offset,v_net_max_single_step_hard_constraint_violation,place_result,route_result,early_rejection,revoke_times,selected_actions,num_interactions,v_net_reward,num_placed_nodes,num_routed_links
1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,22.0,9659,4735,4924,0.0,0.0,0,906.733098550513,22.0,10,20,False,"{0: 15, 1: 8, 2: 38, 3: 29, 4: 35, 5: 42, 6: 0}","{(1, 0): [(8, 3), (3, 7), (7, 15)], (2, 1): [(38, 22), (22, 10), (10, 4), (4, 1), (1, 3), (3, 8)], (3, 0): [(29, 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 3), (3, 7), (7, 15)], (4, 1): [(35, 19), (19, 9), (9, 4), (4, 1), (1, 3), (3, 8)], (4, 3): [(35, 19), (19, 9), (9, 4), (4, 1), (1, 0), (0, 2), (2, 6), (6, 14), (14, 29)], (5, 3): [(42, 26), (26, 12), (12, 5), (5, 2), (2, 6), (6, 14), (14, 29)], (6, 0): []}","{(0, 15): {'cpu': 11}, (1, 8): {'cpu': 9}, (2, 38): {'cpu': 15}, (3, 29): {'cpu': 11}, (4, 35): {'cpu': 2}, (5, 42): {'cpu': 19}, (6, 0): {'cpu': 7}}","{((1, 0), (8, 3)): {'bw': 18}, ((1, 0), (3, 7)): {'bw': 18}, ((1, 0), (7, 15)): {'bw': 18}, ((2, 1), (38, 22)): {'bw': 11}, ((2, 1), (22, 10)): {'bw': 11}, ((2, 1), (10, 4)): {'bw': 11}, ((2, 1), (4, 1)): {'bw': 11}, ((2, 1), (1, 3)): {'bw': 11}, ((2, 1), (3, 8)): {'bw': 11}, ((3, 0), (29, 14)): {'bw': 25}, ((3, 0), (14, 6)): {'bw': 25}, ((3, 0), (6, 2)): {'bw': 25}, ((3, 0), (2, 0)): {'bw': 25}, ((3, 0), (0, 1)): {'bw': 25}, ((3, 0), (1, 3)): {'bw': 25}, ((3, 0), (3, 7)): {'bw': 25}, ((3, 0), (7, 15)): {'bw': 25}, ((4, 1), (35, 19)): {'bw': 27}, ((4, 1), (19, 9)): {'bw': 27}, ((4, 1), (9, 4)): {'bw': 27}, ((4, 1), (4, 1)): {'bw': 27}, ((4, 1), (1, 3)): {'bw': 27}, ((4, 1), (3, 8)): {'bw': 27}, ((4, 3), (35, 19)): {'bw': 24}, ((4, 3), (19, 9)): {'bw': 24}, ((4, 3), (9, 4)): {'bw': 24}, ((4, 3), (4, 1)): {'bw': 24}, ((4, 3), (1, 0)): {'bw': 24}, ((4, 3), (0, 2)): {'bw': 24}, ((4, 3), (2, 6)): {'bw': 24}, ((4, 3), (6, 14)): {'bw': 24}, ((4, 3), (14, 29)): {'bw': 24}, ((5, 3), (42, 26)): {'bw': 16}, ((5, 3), (26, 12)): {'bw': 16}, ((5, 3), (12, 5)): {'bw': 16}, ((5, 3), (5, 2)): {'bw': 16}, ((5, 3), (2, 6)): {'bw': 16}, ((5, 3), (6, 14)): {'bw': 16}, ((5, 3), (14, 29)): {'bw': 16}}",0.0,0.0,196.0,98.0,518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -85}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -83}, 1: {'cpu': -84}, 2: {'cpu': -83}, 3: {'cpu': -85}, 4: {'cpu': -91}, 5: {'cpu': -80}, 6: {'cpu': -85}}, 'link_level': {(1, 0): {'bw': -43}, (2, 1): {'bw': -51}, (3, 0): {'bw': -18}, (4, 1): {'bw': -19}, (4, 3): {'bw': -4}, (5, 3): {'bw': -3}, (6, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 0): {}, (4, 1): {}, (4, 3): {}, (5, 3): {}, (6, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}, 6: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 0): {'bw': 0}, (4, 1): {'bw': 0}, (4, 3): {'bw': 0}, (5, 3): {'bw': 0}, (6, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 0): {}, (4, 1): {}, (4, 3): {}, (5, 3): {}, (6, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,7.0,7.0
2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,51.0,9659,4735,4924,0.0,0.0,1,382.57393229659357,51.0,5,5,False,"{0: 53, 1: 38, 2: 42, 3: 55, 4: 29}","{(1, 0): [(38, 22), (22, 10), (10, 21), (21, 53)], (3, 1): [(55, 23), (23, 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 4), (4, 10), (10, 22), (22, 38)], (3, 2): [(55, 23), (23, 11), (11, 5), (5, 12), (12, 26), (26, 42)], (4, 0): []}","{(0, 53): {'cpu': 0}, (1, 38): {'cpu': 7}, (2, 42): {'cpu': 11}, (3, 55): {'cpu': 17}, (4, 29): {'cpu': 4}}","{((1, 0), (38, 22)): {'bw': 42}, ((1, 0), (22, 10)): {'bw': 42}, ((1, 0), (10, 21)): {'bw': 42}, ((1, 0), (21, 53)): {'bw': 42}, ((3, 1), (55, 23)): {'bw': 11}, ((3, 1), (23, 11)): {'bw': 11}, ((3, 1), (11, 5)): {'bw': 11}, ((3, 1), (5, 2)): {'bw': 11}, ((3, 1), (2, 0)): {'bw': 11}, ((3, 1), (0, 1)): {'bw': 11}, ((3, 1), (1, 4)): {'bw': 11}, ((3, 1), (4, 10)): {'bw': 11}, ((3, 1), (10, 22)): {'bw': 11}, ((3, 1), (22, 38)): {'bw': 11}, ((3, 2), (55, 23)): {'bw': 9}, ((3, 2), (23, 11)): {'bw': 9}, ((3, 2), (11, 5)): {'bw': 9}, ((3, 2), (5, 12)): {'bw': 9}, ((3, 2), (12, 26)): {'bw': 9}, ((3, 2), (26, 42)): {'bw': 9}}",0.0,0.0,78.0,39.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -92}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -96}, 1: {'cpu': -91}, 2: {'cpu': -88}, 3: {'cpu': -82}, 4: {'cpu': -92}}, 'link_level': {(1, 0): {'bw': -20}, (3, 1): {'bw': -9}, (3, 2): {'bw': -67}, (4, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (3, 1): {}, (3, 2): {}, (4, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (3, 1): {'bw': 0}, (3, 2): {'bw': 0}, (4, 0): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (3, 1): {}, (3, 2): {}, (4, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,4.0
3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,73.0,9659,4735,4924,0.0,0.0,2,745.7559213725051,73.0,10,20,False,"{0: 53, 1: 42, 2: 38}","{(1, 0): [(42, 26), (26, 12), (12, 5), (5, 2), (2, 0), (0, 1), (1, 4), (4, 10), (10, 21), (21, 53)], (2, 1): []}","{(0, 53): {'cpu': 10}, (1, 42): {'cpu': 19}, (2, 38): {'cpu': 17}}","{((1, 0), (42, 26)): {'bw': 33}, ((1, 0), (26, 12)): {'bw': 33}, ((1, 0), (12, 5)): {'bw': 33}, ((1, 0), (5, 2)): {'bw': 33}, ((1, 0), (2, 0)): {'bw': 33}, ((1, 0), (0, 1)): {'bw': 33}, ((1, 0), (1, 4)): {'bw': 33}, ((1, 0), (4, 10)): {'bw': 33}, ((1, 0), (10, 21)): {'bw': 33}, ((1, 0), (21, 53)): {'bw': 33}}",0.0,0.0,238.0,119.0,542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -81}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -86}, 1: {'cpu': -80}, 2: {'cpu': -81}}, 'link_level': {(1, 0): {'bw': -30}, (2, 1): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 1): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,3.0,2.0
4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,101.0,9659,4735,4924,0.0,0.0,3,131.2257067570419,101.0,10,27,False,"{0: 6, 1: 53, 2: 18, 3: 15, 4: 0, 5: 8}","{(2, 0): [(18, 8), (8, 3), (3, 1), (1, 0), (0, 2), (2, 6)], (3, 1): [(15, 7), (7, 3), (3, 1), (1, 4), (4, 10), (10, 21), (21, 53)], (4, 0): [(0, 2), (2, 6)], (4, 1): [(0, 1), (1, 4), (4, 10), (10, 21), (21, 53)], (4, 2): [(0, 1), (1, 3), (3, 8), (8, 18)], (4, 3): [(0, 1), (1, 3), (3, 7), (7, 15)], (5, 2): []}","{(0, 6): {'cpu': 0}, (1, 53): {'cpu': 7}, (2, 18): {'cpu': 0}, (3, 15): {'cpu': 6}, (4, 0): {'cpu': 0}, (5, 8): {'cpu': 5}}","{((2, 0), (18, 8)): {'bw': 3}, ((2, 0), (8, 3)): {'bw': 3}, ((2, 0), (3, 1)): {'bw': 3}, ((2, 0), (1, 0)): {'bw': 3}, ((2, 0), (0, 2)): {'bw': 3}, ((2, 0), (2, 6)): {'bw': 3}, ((3, 1), (15, 7)): {'bw': 26}, ((3, 1), (7, 3)): {'bw': 26}, ((3, 1), (3, 1)): {'bw': 26}, ((3, 1), (1, 4)): {'bw': 26}, ((3, 1), (4, 10)): {'bw': 26}, ((3, 1), (10, 21)): {'bw': 26}, ((3, 1), (21, 53)): {'bw': 26}, ((4, 0), (0, 2)): {'bw': 39}, ((4, 0), (2, 6)): {'bw': 39}, ((4, 1), (0, 1)): {'bw': 15}, ((4, 1), (1, 4)): {'bw': 15}, ((4, 1), (4, 10)): {'bw': 15}, ((4, 1), (10, 21)): {'bw': 15}, ((4, 1), (21, 53)): {'bw': 15}, ((4, 2), (0, 1)): {'bw': 38}, ((4, 2), (1, 3)): {'bw': 38}, ((4, 2), (3, 8)): {'bw': 38}, ((4, 2), (8, 18)): {'bw': 38}, ((4, 3), (0, 1)): {'bw': 8}, ((4, 3), (1, 3)): {'bw': 8}, ((4, 3), (3, 7)): {'bw': 8}, ((4, 3), (7, 15)): {'bw': 8}}",0.0,0.0,128.0,64.0,637.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -88}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -69}, 1: {'cpu': -89}, 2: {'cpu': -64}, 3: {'cpu': -88}, 4: {'cpu': -92}, 5: {'cpu': -88}}, 'link_level': {(2, 0): {'bw': -63}, (3, 1): {'bw': -35}, (4, 0): {'bw': -24}, (4, 1): {'bw': -22}, (4, 2): {'bw': -10}, (4, 3): {'bw': -2}, (5, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (3, 1): {}, (4, 0): {}, (4, 1): {}, (4, 2): {}, (4, 3): {}, (5, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}, 5: {'cpu': 0}}, 'link_level': {(2, 0): {'bw': 0}, (3, 1): {'bw': 0}, (4, 0): {'bw': 0}, (4, 1): {'bw': 0}, (4, 2): {'bw': 0}, (4, 3): {'bw': 0}, (5, 2): {'bw': 100.0}}, 'path_level': {(2, 0): {}, (3, 1): {}, (4, 0): {}, (4, 1): {}, (4, 2): {}, (4, 3): {}, (5, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,6.0,7.0
5,1,1,50.0,146.0,84020.59999041908,245340.15197202374,0.3424657534246575,0.3424657534246575,2,4,1,134.0,9513,4709,4804,0.005491024287222812,0.024370430544272903,4,1680.4119998083818,134.0,2,1,True,"{0: 42, 1: 0}","{(1, 0): [(0, 2), (2, 5), (5, 12), (12, 26), (26, 42)]}","{(0, 42): {'cpu': 6}, (1, 0): {'cpu': 20}}","{((1, 0), (0, 2)): {'bw': 24}, ((1, 0), (2, 5)): {'bw': 24}, ((1, 0), (5, 12)): {'bw': 24}, ((1, 0), (12, 26)): {'bw': 24}, ((1, 0), (26, 42)): {'bw': 24}}",146.0,50.0,52.0,26.0,24.0,26.0,24.0,26.0,120.0,96.0,0.3424657534246575,245340.15197202374,84020.59999041908,575.4835615782129,Success,0.0,"{'node_level': {'cpu': -72}, 'link_level': {'bw': -42}, 'path_level': {}}","{'node_level': {0: {'cpu': -93}, 1: {'cpu': -72}}, 'link_level': {(1, 0): {'bw': -42}}, 'path_level': {(1, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}}, 'path_level': {(1, 0): {}}}",[],-42.0,0.0,True,True,False,0,[],0,0.0,2.0,1.0
6,1,1,50.0,146.0,84020.59999041908,245340.15197202374,0.3424657534246575,0.3424657534246575,2,5,1,159.0,9513,4709,4804,0.005491024287222812,0.024370430544272903,5,695.2060282383483,159.0,7,12,False,"{0: 59, 1: 15, 2: 38, 3: 8}","{(3, 0): []}","{(0, 59): {'cpu': 3}, (1, 15): {'cpu': 6}, (2, 38): {'cpu': 12}, (3, 8): {'cpu': 0}}",{},0.0,0.0,114.0,57.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -93}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -90}, 1: {'cpu': -88}, 2: {'cpu': -86}, 3: {'cpu': -93}}, 'link_level': {(3, 0): {'bw': 100.0}}, 'path_level': {(3, 0): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}}, 'link_level': {(3, 0): {'bw': 100.0}}, 'path_level': {(3, 0): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,4.0,1.0
7,1,1,50.0,146.0,84020.59999041908,245340.15197202374,0.3424657534246575,0.3424657534246575,2,6,1,182.0,9513,4709,4804,0.005491024287222812,0.024370430544272903,6,210.10706944032904,182.0,5,5,False,"{0: 53, 1: 55, 2: 15}","{(1, 0): [(55, 23), (23, 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 4), (4, 10), (10, 21), (21, 53)], (2, 0): [(15, 7), (7, 3), (3, 1), (1, 4), (4, 10), (10, 21), (21, 53)], (2, 1): []}","{(0, 53): {'cpu': 14}, (1, 55): {'cpu': 18}, (2, 15): {'cpu': 2}}","{((1, 0), (55, 23)): {'bw': 33}, ((1, 0), (23, 11)): {'bw': 33}, ((1, 0), (11, 5)): {'bw': 33}, ((1, 0), (5, 2)): {'bw': 33}, ((1, 0), (2, 0)): {'bw': 33}, ((1, 0), (0, 1)): {'bw': 33}, ((1, 0), (1, 4)): {'bw': 33}, ((1, 0), (4, 10)): {'bw': 33}, ((1, 0), (10, 21)): {'bw': 33}, ((1, 0), (21, 53)): {'bw': 33}, ((2, 0), (15, 7)): {'bw': 24}, ((2, 0), (7, 3)): {'bw': 24}, ((2, 0), (3, 1)): {'bw': 24}, ((2, 0), (1, 4)): {'bw': 24}, ((2, 0), (4, 10)): {'bw': 24}, ((2, 0), (10, 21)): {'bw': 24}, ((2, 0), (21, 53)): {'bw': 24}}",0.0,0.0,116.0,58.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -92}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -82}, 1: {'cpu': -81}, 2: {'cpu': -92}}, 'link_level': {(1, 0): {'bw': -9}, (2, 0): {'bw': -6}, (2, 1): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (2, 1): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 0): {'bw': 0}, (2, 1): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 0): {}, (2, 1): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,3.0,3.0
8,1,1,50.0,146.0,84020.59999041908,245340.15197202374,0.3424657534246575,0.3424657534246575,2,7,1,204.0,9513,4709,4804,0.005491024287222812,0.024370430544272903,7,1483.3552248166907,204.0,7,9,False,"{0: 42, 1: 53, 2: 55, 3: 38, 4: 15}","{(2, 1): [(55, 23), (23, 11), (11, 5), (5, 2), (2, 0), (0, 1), (1, 4), (4, 10), (10, 21), (21, 53)], (4, 0): [(15, 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 5), (5, 12), (12, 26), (26, 42)], (4, 2): []}","{(0, 42): {'cpu': 5}, (1, 53): {'cpu': 16}, (2, 55): {'cpu': 19}, (3, 38): {'cpu': 17}, (4, 15): {'cpu': 10}}","{((2, 1), (55, 23)): {'bw': 8}, ((2, 1), (23, 11)): {'bw': 8}, ((2, 1), (11, 5)): {'bw': 8}, ((2, 1), (5, 2)): {'bw': 8}, ((2, 1), (2, 0)): {'bw': 8}, ((2, 1), (0, 1)): {'bw': 8}, ((2, 1), (1, 4)): {'bw': 8}, ((2, 1), (4, 10)): {'bw': 8}, ((2, 1), (10, 21)): {'bw': 8}, ((2, 1), (21, 53)): {'bw': 8}, ((4, 0), (15, 7)): {'bw': 15}, ((4, 0), (7, 3)): {'bw': 15}, ((4, 0), (3, 1)): {'bw': 15}, ((4, 0), (1, 0)): {'bw': 15}, ((4, 0), (0, 2)): {'bw': 15}, ((4, 0), (2, 5)): {'bw': 15}, ((4, 0), (5, 12)): {'bw': 15}, ((4, 0), (12, 26)): {'bw': 15}, ((4, 0), (26, 42)): {'bw': 15}}",0.0,0.0,170.0,85.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -84}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -88}, 1: {'cpu': -80}, 2: {'cpu': -80}, 3: {'cpu': -81}, 4: {'cpu': -84}}, 'link_level': {(2, 1): {'bw': -34}, (4, 0): {'bw': -19}, (4, 2): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (4, 0): {}, (4, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(2, 1): {'bw': 0}, (4, 0): {'bw': 0}, (4, 2): {'bw': 100.0}}, 'path_level': {(2, 1): {}, (4, 0): {}, (4, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,3.0
9,1,1,50.0,146.0,84020.59999041908,245340.15197202374,0.3424657534246575,0.3424657534246575,2,8,1,224.0,9513,4709,4804,0.005491024287222812,0.024370430544272903,8,602.8400954844434,224.0,9,21,False,"{0: 8, 1: 53, 2: 29, 3: 15, 4: 35}","{(1, 0): [(53, 21), (21, 10), (10, 4), (4, 1), (1, 3), (3, 8)], (2, 1): [(29, 14), (14, 6), (6, 2), (2, 0), (0, 1), (1, 4), (4, 10), (10, 21), (21, 53)], (3, 1): [(15, 7), (7, 3), (3, 1), (1, 4), (4, 10), (10, 21), (21, 53)], (3, 2): [(15, 7), (7, 3), (3, 1), (1, 0), (0, 2), (2, 6), (6, 14), (14, 29)], (4, 1): [(35, 19), (19, 9), (9, 4), (4, 10), (10, 21), (21, 53)], (4, 2): []}","{(0, 8): {'cpu': 6}, (1, 53): {'cpu': 12}, (2, 29): {'cpu': 11}, (3, 15): {'cpu': 9}, (4, 35): {'cpu': 3}}","{((1, 0), (53, 21)): {'bw': 6}, ((1, 0), (21, 10)): {'bw': 6}, ((1, 0), (10, 4)): {'bw': 6}, ((1, 0), (4, 1)): {'bw': 6}, ((1, 0), (1, 3)): {'bw': 6}, ((1, 0), (3, 8)): {'bw': 6}, ((2, 1), (29, 14)): {'bw': 14}, ((2, 1), (14, 6)): {'bw': 14}, ((2, 1), (6, 2)): {'bw': 14}, ((2, 1), (2, 0)): {'bw': 14}, ((2, 1), (0, 1)): {'bw': 14}, ((2, 1), (1, 4)): {'bw': 14}, ((2, 1), (4, 10)): {'bw': 14}, ((2, 1), (10, 21)): {'bw': 14}, ((2, 1), (21, 53)): {'bw': 14}, ((3, 1), (15, 7)): {'bw': 31}, ((3, 1), (7, 3)): {'bw': 31}, ((3, 1), (3, 1)): {'bw': 31}, ((3, 1), (1, 4)): {'bw': 31}, ((3, 1), (4, 10)): {'bw': 31}, ((3, 1), (10, 21)): {'bw': 31}, ((3, 1), (21, 53)): {'bw': 31}, ((3, 2), (15, 7)): {'bw': 24}, ((3, 2), (7, 3)): {'bw': 24}, ((3, 2), (3, 1)): {'bw': 24}, ((3, 2), (1, 0)): {'bw': 24}, ((3, 2), (0, 2)): {'bw': 24}, ((3, 2), (2, 6)): {'bw': 24}, ((3, 2), (6, 14)): {'bw': 24}, ((3, 2), (14, 29)): {'bw': 24}, ((4, 1), (35, 19)): {'bw': 7}, ((4, 1), (19, 9)): {'bw': 7}, ((4, 1), (9, 4)): {'bw': 7}, ((4, 1), (4, 10)): {'bw': 7}, ((4, 1), (10, 21)): {'bw': 7}, ((4, 1), (21, 53)): {'bw': 7}}",0.0,0.0,168.0,84.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Route Failure,100.0,"{'node_level': {'cpu': -90}, 'link_level': {'bw': 100.0}, 'path_level': {}}","{'node_level': {0: {'cpu': -87}, 1: {'cpu': -84}, 2: {'cpu': -85}, 3: {'cpu': -85}, 4: {'cpu': -90}}, 'link_level': {(1, 0): {'bw': -57}, (2, 1): {'bw': -28}, (3, 1): {'bw': -12}, (3, 2): {'bw': -4}, (4, 1): {'bw': -5}, (4, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 1): {}, (3, 2): {}, (4, 1): {}, (4, 2): {}}}","{'node_level': {0: {'cpu': 0}, 1: {'cpu': 0}, 2: {'cpu': 0}, 3: {'cpu': 0}, 4: {'cpu': 0}}, 'link_level': {(1, 0): {'bw': 0}, (2, 1): {'bw': 0}, (3, 1): {'bw': 0}, (3, 2): {'bw': 0}, (4, 1): {'bw': 0}, (4, 2): {'bw': 100.0}}, 'path_level': {(1, 0): {}, (2, 1): {}, (3, 1): {}, (3, 2): {}, (4, 1): {}, (4, 2): {}}}",[],100.0,100.0,True,False,False,0,[],0,0.0,5.0,6.0
9,1,1,50.0,146.0,84020.59999041908,245340.15197202374,0.3424657534246575,0.3424657534246575,2,9,0,232.2257067570419,9513,4709,4804,0.005491024287222812,0.024370430544272903,3,131.2257067570419,101.0,10,27,False,{},{},{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leave Event,0.0,"{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}","{'node_level': {}, 'link_level': {}, 'path_level': {}}",[],-inf,-inf,True,True,False,0,[],0,0.0,,
